site_id,date,soil_moisture_0_to_7cm_mean,soil_moisture_7_to_28cm_mean,soil_moisture_28_to_100cm_mean,soil_moisture_100_to_255cm_mean
ningxia_irrigation,1981-04-05,0.175,0.153,0.134,0.142
ningxia_irrigation,1981-04-06,0.169,0.153,0.134,0.142
ningxia_irrigation,1981-04-07,0.165,0.152,0.134,0.142
ningxia_irrigation,1981-04-08,0.163,0.152,0.134,0.142
ningxia_irrigation,1981-04-09,0.158,0.151,0.134,0.142
ningxia_irrigation,1981-04-10,0.155,0.151,0.134,0.142
ningxia_irrigation,1981-04-11,0.152,0.15,0.134,0.142
ningxia_irrigation,1981-04-12,0.149,0.149,0.134,0.142
ningxia_irrigation,1981-04-13,0.17,0.149,0.134,0.142
ningxia_irrigation,1981-04-14,0.213,0.149,0.134,0.142
ningxia_irrigation,1981-04-15,0.236,0.151,0.134,0.142
ningxia_irrigation,1981-04-16,0.239,0.153,0.134,0.142
ningxia_irrigation,1981-04-17,0.286,0.157,0.134,0.142
ningxia_irrigation,1981-04-18,0.299,0.174,0.134,0.142
ningxia_irrigation,1981-04-19,0.267,0.18,0.134,0.142
ningxia_irrigation,1981-04-20,0.255,0.182,0.134,0.142
ningxia_irrigation,1981-04-21,0.253,0.183,0.134,0.142
ningxia_irrigation,1981-04-22,0.237,0.184,0.134,0.142
ningxia_irrigation,1981-04-23,0.223,0.183,0.134,0.142
ningxia_irrigation,1981-04-24,0.214,0.182,0.134,0.142
ningxia_irrigation,1981-04-25,0.204,0.181,0.135,0.142
ningxia_irrigation,1981-04-26,0.194,0.179,0.135,0.142
ningxia_irrigation,1981-04-27,0.184,0.177,0.135,0.142
ningxia_irrigation,1981-04-28,0.177,0.175,0.135,0.142
ningxia_irrigation,1981-04-29,0.17,0.173,0.135,0.142
ningxia_irrigation,1981-04-30,0.163,0.171,0.135,0.142
ningxia_irrigation,1981-05-01,0.158,0.17,0.135,0.142
ningxia_irrigation,1981-05-02,0.155,0.169,0.135,0.142
ningxia_irrigation,1981-05-03,0.151,0.167,0.135,0.142
ningxia_irrigation,1981-05-04,0.147,0.165,0.135,0.142
ningxia_irrigation,1981-05-05,0.144,0.163,0.135,0.142
ningxia_irrigation,1981-05-06,0.14,0.161,0.135,0.142
ningxia_irrigation,1981-05-07,0.137,0.159,0.134,0.142
ningxia_irrigation,1981-05-08,0.134,0.157,0.134,0.142
ningxia_irrigation,1981-05-09,0.134,0.156,0.134,0.142
ningxia_irrigation,1981-05-10,0.133,0.154,0.134,0.142
ningxia_irrigation,1981-05-11,0.132,0.153,0.134,0.142
ningxia_irrigation,1981-05-12,0.131,0.152,0.134,0.142
ningxia_irrigation,1981-05-13,0.13,0.151,0.134,0.142
ningxia_irrigation,1981-05-14,0.129,0.15,0.134,0.142
ningxia_irrigation,1981-05-15,0.128,0.149,0.134,0.142
ningxia_irrigation,1981-05-16,0.127,0.148,0.134,0.142
ningxia_irrigation,1981-05-17,0.126,0.147,0.134,0.142
ningxia_irrigation,1981-05-18,0.125,0.146,0.134,0.142
ningxia_irrigation,1981-05-19,0.125,0.145,0.134,0.142
ningxia_irrigation,1981-05-20,0.125,0.144,0.134,0.142
ningxia_irrigation,1981-05-21,0.131,0.143,0.134,0.142
ningxia_irrigation,1981-05-22,0.141,0.143,0.134,0.142
ningxia_irrigation,1981-05-23,0.138,0.142,0.134,0.142
ningxia_irrigation,1981-05-24,0.134,0.141,0.134,0.142
ningxia_irrigation,1981-05-25,0.132,0.14,0.134,0.142
ningxia_irrigation,1981-05-26,0.139,0.14,0.134,0.142
ningxia_irrigation,1981-05-27,0.145,0.14,0.134,0.142
ningxia_irrigation,1981-05-28,0.141,0.139,0.134,0.142
ningxia_irrigation,1981-05-29,0.137,0.138,0.134,0.142
ningxia_irrigation,1981-05-30,0.134,0.138,0.134,0.142
ningxia_irrigation,1981-05-31,0.132,0.137,0.134,0.142
ningxia_irrigation,1981-06-01,0.131,0.137,0.134,0.142
ningxia_irrigation,1981-06-02,0.13,0.137,0.134,0.142
ningxia_irrigation,1981-06-03,0.129,0.136,0.134,0.142
ningxia_irrigation,1981-06-04,0.128,0.136,0.134,0.142
ningxia_irrigation,1981-06-05,0.126,0.136,0.134,0.142
ningxia_irrigation,1981-06-06,0.125,0.135,0.134,0.142
ningxia_irrigation,1981-06-07,0.125,0.135,0.134,0.142
ningxia_irrigation,1981-06-08,0.125,0.135,0.134,0.142
ningxia_irrigation,1981-06-09,0.126,0.135,0.134,0.142
ningxia_irrigation,1981-06-10,0.13,0.134,0.134,0.142
ningxia_irrigation,1981-06-11,0.128,0.134,0.134,0.142
ningxia_irrigation,1981-06-12,0.127,0.134,0.134,0.142
ningxia_irrigation,1981-06-13,0.125,0.134,0.134,0.142
ningxia_irrigation,1981-06-14,0.124,0.134,0.134,0.142
ningxia_irrigation,1981-06-15,0.123,0.134,0.134,0.142
ningxia_irrigation,1981-06-16,0.124,0.133,0.134,0.142
ningxia_irrigation,1981-06-17,0.126,0.133,0.134,0.142
ningxia_irrigation,1981-06-18,0.27,0.137,0.134,0.142
ningxia_irrigation,1981-06-19,0.247,0.143,0.134,0.142
ningxia_irrigation,1981-06-20,0.244,0.145,0.134,0.142
ningxia_irrigation,1981-06-21,0.223,0.146,0.134,0.142
ningxia_irrigation,1981-06-22,0.22,0.147,0.134,0.142
ningxia_irrigation,1981-06-23,0.2,0.147,0.134,0.142
ningxia_irrigation,1981-06-24,0.183,0.146,0.134,0.142
ningxia_irrigation,1981-06-25,0.169,0.144,0.134,0.141
ningxia_irrigation,1981-06-26,0.155,0.143,0.133,0.141
ningxia_irrigation,1981-06-27,0.146,0.142,0.133,0.141
ningxia_irrigation,1981-06-28,0.14,0.14,0.133,0.141
ningxia_irrigation,1981-06-29,0.139,0.139,0.133,0.141
ningxia_irrigation,1981-06-30,0.142,0.138,0.133,0.141
ningxia_irrigation,1981-07-01,0.147,0.138,0.133,0.141
ningxia_irrigation,1981-07-02,0.277,0.144,0.133,0.141
ningxia_irrigation,1981-07-03,0.296,0.166,0.133,0.141
ningxia_irrigation,1981-07-04,0.262,0.171,0.133,0.141
ningxia_irrigation,1981-07-05,0.231,0.17,0.133,0.141
ningxia_irrigation,1981-07-06,0.211,0.168,0.133,0.141
ningxia_irrigation,1981-07-07,0.2,0.167,0.133,0.141
ningxia_irrigation,1981-07-08,0.187,0.165,0.133,0.141
ningxia_irrigation,1981-07-09,0.174,0.161,0.133,0.141
