site_id,date,et0
hebei_central,2024-01-01,0.6118181943893433
hebei_central,2024-01-02,1.0615156888961792
hebei_central,2024-01-03,1.4690396785736084
hebei_central,2024-01-04,1.1870907545089722
hebei_central,2024-01-05,0.9566184282302856
hebei_central,2024-01-06,1.2895885705947876
hebei_central,2024-01-07,0.8009000420570374
hebei_central,2024-01-08,0.7539401650428772
hebei_central,2024-01-09,0.9027354121208191
hebei_central,2024-01-10,1.1878505945205688
hebei_central,2024-01-11,1.1645526885986328
hebei_central,2024-01-12,0.8374437689781189
hebei_central,2024-01-13,0.762300968170166
hebei_central,2024-01-14,1.1461087465286255
hebei_central,2024-01-15,1.111331582069397
hebei_central,2024-01-16,0.5816614031791687
hebei_central,2024-01-17,0.5778173804283142
hebei_central,2024-01-18,0.6422791481018066
hebei_central,2024-01-19,0.7682279348373413
hebei_central,2024-01-20,0.925614058971405
hebei_central,2024-01-21,1.3013557195663452
hebei_central,2024-01-22,0.9587244391441345
hebei_central,2024-01-23,1.2543689012527466
hebei_central,2024-01-24,1.2391546964645386
hebei_central,2024-01-25,1.4447208642959595
hebei_central,2024-01-26,1.3844165802001953
hebei_central,2024-01-27,1.3272918462753296
hebei_central,2024-01-28,1.40155827999115
hebei_central,2024-01-29,1.2803001403808594
hebei_central,2024-01-30,0.9009082913398743
hebei_central,2024-01-31,0.9002000093460083
hebei_central,2024-02-01,1.007270097732544
hebei_central,2024-02-02,0.9153544306755066
hebei_central,2024-02-03,0.9376335144042969
hebei_central,2024-02-04,0.7130401730537415
hebei_central,2024-02-05,0.9230391383171082
hebei_central,2024-02-06,1.0639747381210327
hebei_central,2024-02-07,1.0359560251235962
hebei_central,2024-02-08,1.2122161388397217
hebei_central,2024-02-09,1.8980742692947388
hebei_central,2024-02-10,1.4046261310577393
hebei_central,2024-02-11,2.239180326461792
hebei_central,2024-02-12,1.8247506618499756
hebei_central,2024-02-13,1.7675769329071045
hebei_central,2024-02-14,1.5314044952392578
hebei_central,2024-02-15,1.9379850625991821
hebei_central,2024-02-16,2.2083253860473633
hebei_central,2024-02-17,1.7029253244400024
hebei_central,2024-02-18,1.758966326713562
hebei_central,2024-02-19,2.2857096195220947
hebei_central,2024-02-20,1.3160209655761719
hebei_central,2024-02-21,0.7771665453910828
hebei_central,2024-02-22,1.5236157178878784
hebei_central,2024-02-23,1.3989582061767578
hebei_central,2024-02-24,1.4795125722885132
hebei_central,2024-02-25,1.6256619691848755
hebei_central,2024-02-26,1.5484216213226318
hebei_central,2024-02-27,1.74382746219635
hebei_central,2024-02-28,1.641739845275879
hebei_central,2024-02-29,1.622554898262024
hebei_central,2024-03-01,2.222132682800293
hebei_central,2024-03-02,3.5115456581115723
hebei_central,2024-03-03,2.364962100982666
hebei_central,2024-03-04,1.3970897197723389
hebei_central,2024-03-05,1.1725654602050781
hebei_central,2024-03-06,1.554964303970337
hebei_central,2024-03-07,2.9022059440612793
hebei_central,2024-03-08,2.68092679977417
hebei_central,2024-03-09,2.5574374198913574
hebei_central,2024-03-10,2.1130483150482178
hebei_central,2024-03-11,3.915786027908325
hebei_central,2024-03-12,2.8841047286987305
hebei_central,2024-03-13,2.9616870880126953
hebei_central,2024-03-14,3.5397071838378906
hebei_central,2024-03-15,4.1523661613464355
hebei_central,2024-03-16,3.949673652648926
hebei_central,2024-03-17,3.5394744873046875
hebei_central,2024-03-18,4.808304309844971
hebei_central,2024-03-19,4.594916343688965
hebei_central,2024-03-20,3.6538870334625244
hebei_central,2024-03-21,2.8224070072174072
hebei_central,2024-03-22,3.6742405891418457
hebei_central,2024-03-23,3.29193377494812
hebei_central,2024-03-24,2.6305360794067383
hebei_central,2024-03-25,2.46075439453125
hebei_central,2024-03-26,3.1553614139556885
hebei_central,2024-03-27,2.8664817810058594
hebei_central,2024-03-28,3.967616319656372
hebei_central,2024-03-29,4.142608642578125
hebei_central,2024-03-30,4.579780578613281
hebei_central,2024-03-31,4.226522445678711
hebei_central,2024-04-01,3.978550672531128
hebei_central,2024-04-02,3.3661911487579346
hebei_central,2024-04-03,2.2584259510040283
hebei_central,2024-04-04,3.409900426864624
hebei_central,2024-04-05,3.196981906890869
hebei_central,2024-04-06,4.030268669128418
hebei_central,2024-04-07,4.095769882202148
hebei_central,2024-04-08,4.573841094970703
hebei_central,2024-04-09,3.4187538623809814
hebei_central,2024-04-10,2.9187004566192627
hebei_central,2024-04-11,4.942347049713135
hebei_central,2024-04-12,5.346776008605957
hebei_central,2024-04-13,4.867812633514404
hebei_central,2024-04-14,1.9392213821411133
hebei_central,2024-04-15,5.090012550354004
hebei_central,2024-04-16,4.674125671386719
hebei_central,2024-04-17,4.628359794616699
hebei_central,2024-04-18,4.690487861633301
hebei_central,2024-04-19,3.1460371017456055
hebei_central,2024-04-20,4.474517822265625
hebei_central,2024-04-21,4.549977779388428
hebei_central,2024-04-22,3.9566845893859863
hebei_central,2024-04-23,6.317832946777344
hebei_central,2024-04-24,5.934089660644531
hebei_central,2024-04-25,5.933248519897461
hebei_central,2024-04-26,5.2797770500183105
