irrigation_mm,water_loss_mm,yield_cv,total_yield_t_ha,algorithm,site_id
387.43391577941986,135.38171603448092,0.0401096665139789,15.138457244139738,NSGA-II,hebei_central
166.68980913311904,129.91994847473097,0.20250287693829297,11.184576257629123,NSGA-II,hebei_central
310.0,240.77869144170754,0.02580787502161514,14.338920907337405,NSGA-II,hebei_central
271.9176196569349,61.65137812238497,0.36719222488793624,9.496905115971241,NSGA-II,hebei_central
446.13352724318037,64.55219225894787,0.136866039232468,13.528007744519034,NSGA-II,hebei_central
325.0,247.3634149465176,0.03599872630668945,14.467211291849917,NSGA-II,hebei_central
430.0758999740142,51.01927546737629,0.2941259583210143,11.384153095636455,NSGA-II,hebei_central
300.0,210.89026987715698,0.05568154105198116,14.316109573645448,NSGA-II,hebei_central
231.6791993527027,147.09701180410963,0.11015843876155658,13.469521351935736,NSGA-II,hebei_central
257.25640961999915,75.41679230999907,0.3070189558898227,9.62150862036196,NSGA-II,hebei_central
323.657320634893,192.4876318330067,0.03870369227011282,14.267914569274982,NSGA-II,hebei_central
267.25640961999915,62.84232873878837,0.22418493006538287,11.002862788428216,NSGA-II,hebei_central
201.53026904590877,96.96536626641917,0.1768523099959272,12.056329705706801,NSGA-II,hebei_central
281.3793498140152,57.860769790464,0.36180321828280076,9.683473166589364,NSGA-II,hebei_central
344.1891262037854,80.89296202713106,0.09912114132936624,13.828901996655523,NSGA-II,hebei_central
350.27101881651413,61.82400568053232,0.32853321010512615,10.28322789552282,NSGA-II,hebei_central
221.5852497200422,146.31237830303436,0.1259246481457002,12.897567717827261,NSGA-II,hebei_central
226.0967423859476,149.73701972868213,0.11753940122765016,12.822189567379965,NSGA-II,hebei_central
359.06663085999486,121.15372625900959,0.06999984331992837,14.68393314353682,NSGA-II,hebei_central
416.3828196361934,70.20351384209899,0.08329927842076969,14.604052679901676,NSGA-II,hebei_central
257.25640961999915,84.81849723124807,0.24941919449611483,9.857882365036286,NSGA-II,hebei_central
171.68980913311907,132.82683023416672,0.1974534974979863,11.270977256565903,NSGA-II,hebei_central
350.13828210367967,61.82389996230113,0.3285635033987892,10.282093954876299,NSGA-II,hebei_central
374.49498095683776,107.33204905678932,0.06773597136664336,14.689460429103182,NSGA-II,hebei_central
434.727746648199,66.5707273810834,0.05217394526068477,14.901661998050056,NSGA-II,hebei_central
426.12395163519477,63.33779158043465,0.15361837693439837,12.387971134702829,NSGA-II,hebei_central
373.2683624003645,52.448574465949534,0.27436967409020324,11.807780337761072,NSGA-II,hebei_central
285.0,145.83811776260617,0.05747864923247988,14.462921224260526,NSGA-II,hebei_central
349.9420903646528,175.43286578287362,0.051854632785088194,14.327407927545892,NSGA-II,hebei_central
401.01012324625117,64.88221316869144,0.2234030826763071,12.265733295755249,NSGA-II,hebei_central
179.19702605154023,91.05092097748242,0.16709155643746906,11.895341682797305,NSGA-II,hebei_central
339.57720930425677,83.10513765596266,0.21796132035549004,12.273491638472194,NSGA-II,hebei_central
354.65644836173976,63.011000706702454,0.06357780934741257,13.806718127317808,NSGA-III,hebei_central
376.03601667323596,60.584841722843194,0.16293633527486984,12.657330266278938,NSGA-III,hebei_central
265.39926440813736,105.51088737720292,0.18338837024924676,13.325976205699613,NSGA-III,hebei_central
423.03268017930196,87.92589743945689,0.050407861174245006,14.66382146212797,NSGA-III,hebei_central
148.9839149618802,61.316421731497805,0.18717697447184475,11.806762981034023,NSGA-III,hebei_central
256.3905474318303,152.06358876473888,0.048796123777284824,13.054914246908371,NSGA-III,hebei_central
200.50604801573832,54.5101943600604,0.25070553219013214,10.877054730953613,NSGA-III,hebei_central
308.6285990397122,135.1328997956014,0.062113509904279426,14.36951023197032,NSGA-III,hebei_central
