site_id,soil,smt_level,alpha,mean_total_yield,std_total_yield,mean_total_irr,wheat_yield,maize_yield,wheat_irr,maize_irr
shaanxi_guanzhong,loam,conservative,0.1,15.272973486369402,0.4293726150909974,141.66666666666666,6.749102545165826,8.523870941203578,37.5,104.16666666666667
shaanxi_guanzhong,loam,conservative,0.2,15.351176523986886,0.4518788439616713,153.33333333333334,6.843007272043877,8.50816925194301,65.83333333333333,87.5
shaanxi_guanzhong,loam,conservative,0.3,15.353528986614785,0.3996101654341872,145.83333333333334,6.845396321581847,8.508132665032937,79.16666666666667,66.66666666666667
shaanxi_guanzhong,loam,conservative,0.4,15.353528986614785,0.3996101654341872,145.83333333333334,6.845396321581847,8.508132665032937,79.16666666666667,66.66666666666667
shaanxi_guanzhong,loam,conservative,0.5,15.353528986614785,0.3996101654341872,145.83333333333334,6.845396321581847,8.508132665032937,79.16666666666667,66.66666666666667
shaanxi_guanzhong,loam,conservative,0.6,15.353528986614785,0.3996101654341872,142.5,6.845396321581847,8.508132665032937,79.16666666666667,63.333333333333336
shaanxi_guanzhong,loam,conservative,0.7,15.35352010420978,0.3996024110902408,135.0,6.845396321581847,8.508123782627932,79.16666666666667,55.833333333333336
shaanxi_guanzhong,loam,conservative,0.8,15.267802890426369,0.38021491971604493,121.66666666666667,6.845396321581847,8.42240656884452,79.16666666666667,42.49999999999999
shaanxi_guanzhong,loam,conservative,0.9,14.968443383455197,0.5748825924092817,105.83333333333333,6.845396321581847,8.123047061873352,79.16666666666667,26.66666666666666
shaanxi_guanzhong,loam,moderate,0.1,15.461609978719679,0.3888956480151561,227.76052473817745,6.746989367767752,8.714620610951927,45.0,182.76052473817745
shaanxi_guanzhong,loam,moderate,0.2,15.54692930498346,0.3660035536290546,270.06016666666665,6.839188151693571,8.70774115328989,83.33333333333333,186.7268333333333
shaanxi_guanzhong,loam,moderate,0.3,15.528084369899666,0.361234837016216,268.6897018600519,6.841100308208276,8.68698406169139,113.33333333333333,155.35636852671857
shaanxi_guanzhong,loam,moderate,0.4,15.530651023357619,0.3492217775482062,263.6525984452208,6.841100308208276,8.689550715149343,129.16666666666666,134.4859317785542
shaanxi_guanzhong,loam,moderate,0.5,15.530651023357619,0.3492217775482062,256.1525984452208,6.841100308208276,8.689550715149343,129.16666666666666,126.98593177855419
shaanxi_guanzhong,loam,moderate,0.6,15.53093242409181,0.34938421191003144,248.65259844522083,6.841100308208276,8.689832115883535,129.16666666666666,119.48593177855419
shaanxi_guanzhong,loam,moderate,0.7,15.52957313701903,0.3506276705523131,228.7812651118875,6.841100308208276,8.688472828810754,129.16666666666666,99.61459844522086
shaanxi_guanzhong,loam,moderate,0.8,15.410996484315858,0.3644849400508258,204.16666666666666,6.841100308208276,8.569896176107582,129.16666666666666,74.99999999999999
shaanxi_guanzhong,loam,moderate,0.9,15.038116141125409,0.585469833409953,166.66666666666666,6.841100308208276,8.197015832917133,129.16666666666666,37.49999999999999
shaanxi_guanzhong,loam,aggressive,0.1,15.46984067272679,0.38919532534013906,320.8980165731478,6.7239746543829995,8.745866018343788,45.0,275.8980165731478
shaanxi_guanzhong,loam,aggressive,0.2,15.58498187090216,0.37068165983987145,361.30212379130086,6.839111523028566,8.745870347873595,90.0,271.30212379130086
shaanxi_guanzhong,loam,aggressive,0.3,15.586616787225795,0.372528824443421,387.8570640985279,6.840959254545996,8.745657532679799,131.0795,256.7775640985279
shaanxi_guanzhong,loam,aggressive,0.4,15.584605243843654,0.37112289403747634,395.6327968813191,6.840942292172211,8.743662951671444,166.91283333333334,228.71996354798577
shaanxi_guanzhong,loam,aggressive,0.5,15.584869917848502,0.37108311626964097,387.2062149018948,6.840942292172211,8.743927625676294,182.9425,204.2637149018948
shaanxi_guanzhong,loam,aggressive,0.6,15.58610223785467,0.3714299029192661,362.79472143691265,6.840942292172211,8.74515994568246,182.9425,179.8522214369127
shaanxi_guanzhong,loam,aggressive,0.7,15.57290518958684,0.36566051186803544,317.9425,6.840942292172211,8.73196289741463,182.9425,135.00000000000003
shaanxi_guanzhong,loam,aggressive,0.8,15.409835748184882,0.44622119343489514,272.9425,6.840942292172211,8.568893456012672,182.9425,89.99999999999999
shaanxi_guanzhong,loam,aggressive,0.9,15.094720240877578,0.6275210951688525,227.9425,6.840942292172211,8.253777948705372,182.9425,44.99999999999999
