policy,site_id,year,total_yield_t_ha,total_irrigation_mm,action_modified_rate,scalar_return,wheat_yield,wheat_irr,maize_yield,maize_irr,spring_maize_yield,spring_maize_irr
threshold_rule,beijing_plain,2018,13.79791305416266,360.0,0.00819672131147541,44.776720646448695,4.999055218271081,260.0,8.798857835891578,100.0,,
threshold_rule,beijing_plain,2019,11.067293827987907,530.0,0.31932773109243695,39.50606213304842,4.424291071082392,510.0,6.643002756905514,20.0,,
threshold_rule,beijing_plain,2020,12.538059429676332,550.0,0.21666666666666667,41.191563575639435,5.48972009669841,450.0,7.048339332977922,100.0,,
threshold_rule,beijing_plain,2021,14.507640411774561,450.0,0.11666666666666667,42.73948168935636,5.796528283229579,450.0,8.711112128544983,0.0,,
threshold_rule,beijing_plain,2022,14.45388598680998,320.0,0.0,44.93381001357259,5.448937615012483,320.0,9.004948371797497,0.0,,
threshold_rule,hebei_central,2018,15.201874035009737,340.0,0.03333333333333333,44.31704596476082,6.323310602387672,180.0,8.878563432622064,160.0,,
threshold_rule,hebei_central,2019,13.32775141538059,490.0,0.2857142857142857,40.859821080495735,5.736625171606433,490.0,7.5911262437741565,0.0,,
threshold_rule,hebei_central,2020,15.94598805692797,400.0,0.008333333333333333,43.57518307202168,6.98470872246491,400.0,8.961279334463061,0.0,,
threshold_rule,hebei_central,2021,14.509853680269114,470.0,0.1271186440677966,41.233303334534575,7.0737877465973895,420.0,7.436065933671723,50.0,,
threshold_rule,hebei_central,2022,15.078793954768795,450.0,0.041666666666666664,42.87404924482834,7.08684918854633,300.0,7.991944766222466,150.0,,
threshold_rule,henan_north,2018,15.63362905449653,180.0,0.017699115044247787,43.62856392312618,6.594207255454749,180.0,9.039421799041781,0.0,,
threshold_rule,henan_north,2019,12.57733628394374,710.0,0.16666666666666666,35.53654568753292,7.106400879375145,450.0,5.470935404568596,260.0,,
threshold_rule,henan_north,2020,15.988689872369903,360.0,0.03571428571428571,40.8899391747278,7.285628789859043,200.0,8.70306108251086,160.0,,
threshold_rule,henan_north,2021,16.476053903956643,450.0,0.017857142857142856,39.741519416084586,7.509715352816607,400.0,8.966338551140035,50.0,,
threshold_rule,henan_north,2022,16.318349726262277,340.0,0.008771929824561403,41.978091305866485,7.22296629507398,260.0,9.095383431188298,80.0,,
threshold_rule,shaanxi_guanzhong,2018,15.69949624565397,300.0,0.05128205128205128,43.66791295124128,6.83740805046981,120.0,8.86208819518416,180.0,,
threshold_rule,shaanxi_guanzhong,2019,14.40281008946576,450.0,0.24786324786324787,41.079093122426904,6.80721651957585,400.0,7.5955935698899095,50.0,,
threshold_rule,shaanxi_guanzhong,2020,15.703665306120808,260.0,0.034482758620689655,43.792485943620676,7.0079394887121875,160.0,8.69572581740862,100.0,,
threshold_rule,shaanxi_guanzhong,2021,16.376634475186236,80.0,0.017094017094017096,46.576500309623796,7.331178719729769,60.0,9.04545575545647,20.0,,
threshold_rule,shaanxi_guanzhong,2022,15.778718205501683,340.0,0.02564102564102564,43.14971634487343,6.877148439534904,80.0,8.90156976596678,260.0,,
threshold_rule,ningxia_irrigation,2018,14.553502662349741,440.0,0.045454545454545456,12.257031491068657,,,,,14.553502662349741,440.0
threshold_rule,ningxia_irrigation,2019,14.350457563918383,450.0,0.022727272727272728,12.109763580307336,,,,,14.350457563918383,450.0
threshold_rule,ningxia_irrigation,2020,13.695742354836149,510.0,0.20454545454545456,10.83005516233995,,,,,13.695742354836149,510.0
threshold_rule,ningxia_irrigation,2021,12.918162794234691,470.0,0.36363636363636365,10.394289092423707,,,,,12.918162794234691,470.0
threshold_rule,ningxia_irrigation,2022,14.20102573271984,420.0,0.06818181818181818,12.340954381685545,,,,,14.20102573271984,420.0
ppo_direct,beijing_plain,2018,13.522003514260486,160.0,0.08196721311475409,46.698133621380464,4.707139956650686,150.0,8.8148635576098,10.0,,
ppo_direct,beijing_plain,2019,8.932770484216785,470.0,0.18487394957983194,36.73504347051322,2.2940608173135972,390.0,6.638709666903189,80.0,,
ppo_direct,beijing_plain,2020,10.80044480938599,275.0,0.03333333333333333,42.370782228051056,1.9037625857252602,245.0,8.89668222366073,30.0,,
ppo_direct,beijing_plain,2021,10.8745944879726,135.0,0.21666666666666667,43.97996882750155,1.8011015968800186,135.0,9.073492891092581,0.0,,
ppo_direct,beijing_plain,2022,13.69633469713394,160.0,0.09090909090909091,45.639438666056314,4.691391130155566,160.0,9.004943566978374,0.0,,
ppo_direct,hebei_central,2018,14.42903668387083,110.0,0.025,46.93083686037837,6.146842163104565,110.0,8.282194520766264,0.0,,
ppo_direct,hebei_central,2019,12.405212703818526,465.0,0.2689075630252101,39.48761927531309,4.804864146775226,465.0,7.6003485570433,0.0,,
ppo_direct,hebei_central,2020,14.884051627745874,210.0,0.09166666666666666,44.00526199013732,5.930322233106455,190.0,8.953729394639419,20.0,,
ppo_direct,hebei_central,2021,14.91898895583747,260.0,0.11864406779661017,43.09208502536992,6.142103590052583,230.0,8.776885365784887,30.0,,
ppo_direct,hebei_central,2022,15.32886677321186,180.0,0.09166666666666666,44.69644180407315,6.313410976256348,180.0,9.015455796955512,0.0,,
ppo_direct,henan_north,2018,15.37708618171828,90.0,0.035398230088495575,44.25502057937598,6.337664382676498,80.0,9.039421799041781,10.0,,
ppo_direct,henan_north,2019,10.954654633016323,555.0,0.10526315789473684,35.06354013904537,4.674759619617353,335.0,6.279895013398971,220.0,,
ppo_direct,henan_north,2020,14.276503314257715,150.0,0.0625,42.41225989720447,7.0299365231586055,90.0,7.246566791099109,60.0,,
ppo_direct,henan_north,2021,10.507243658403208,210.0,0.13392857142857142,40.146145460029295,2.8153299755316032,120.0,7.691913682871605,90.0,,
ppo_direct,henan_north,2022,15.766119177225907,140.0,0.043859649122807015,43.416930861229496,6.6681788701130555,140.0,9.097940307112852,0.0,,
ppo_direct,shaanxi_guanzhong,2018,15.600598995450339,50.0,0.15384615384615385,46.601059408321134,6.725376933080952,50.0,8.875222062369387,0.0,,
ppo_direct,shaanxi_guanzhong,2019,12.243339662763518,255.0,0.05982905982905983,41.556720415100045,4.543786924281922,215.0,7.699552738481596,40.0,,
ppo_direct,shaanxi_guanzhong,2020,15.556965313184676,80.0,0.2672413793103448,45.488586974081684,6.7423990305104935,70.0,8.814566282674182,10.0,,
ppo_direct,shaanxi_guanzhong,2021,14.558316974431552,130.0,0.20512820512820512,45.31735108628212,7.331071295301554,70.0,7.227245679129998,60.0,,
ppo_direct,shaanxi_guanzhong,2022,14.058814604661938,250.0,0.15384615384615385,43.57878323335383,6.877010053061996,60.0,7.181804551599942,190.0,,
ppo_direct,ningxia_irrigation,2018,7.150294856788232,230.0,0.3181818181818182,12.928459998829185,,,,,7.150294856788232,230.0
ppo_direct,ningxia_irrigation,2019,8.319116637830215,320.0,0.38636363636363635,11.400030012914133,,,,,8.319116637830215,320.0
ppo_direct,ningxia_irrigation,2020,7.43579536810656,395.0,0.3409090909090909,10.112393192453805,,,,,7.43579536810656,395.0
ppo_direct,ningxia_irrigation,2021,0.0,0.0,0.0,17.23876693792459,,,,,0.0,0.0
ppo_direct,ningxia_irrigation,2022,10.574241730267536,320.0,0.3409090909090909,11.742372674034957,,,,,10.574241730267536,320.0
ppo_residual,beijing_plain,2018,13.61425762889187,150.0,0.00819672131147541,47.08406840623858,4.799855302319787,150.0,8.814402326572083,0.0,,
ppo_residual,beijing_plain,2019,9.755368833531673,520.0,0.07563025210084033,37.048913210356815,2.943483480968622,460.0,6.811885352563052,60.0,,
ppo_residual,beijing_plain,2020,11.033157889442954,280.0,0.0,43.23816127627823,2.1397099608069867,280.0,8.893447928635966,0.0,,
ppo_residual,beijing_plain,2021,11.483820524118688,260.0,0.008333333333333333,43.944761986118756,2.4002080492879174,260.0,9.08361247483077,0.0,,
ppo_residual,beijing_plain,2022,13.874364615123113,180.0,0.008264462809917356,45.761446429938495,4.869302991747675,180.0,9.005061623375438,0.0,,
ppo_residual,hebei_central,2018,12.736198016702826,100.0,0.008333333333333333,46.88753900716593,6.252080286591921,100.0,6.484117730110904,0.0,,
ppo_residual,hebei_central,2019,12.140004937887392,480.0,0.06722689075630252,39.16373809727795,4.500014077777724,480.0,7.639990860109668,0.0,,
ppo_residual,hebei_central,2020,15.101027333291167,240.0,0.0,44.38456200423814,6.138530398059219,240.0,8.962496935231949,0.0,,
ppo_residual,hebei_central,2021,15.420284670845989,270.0,0.03389830508474576,43.57268001182823,6.416416276251891,270.0,9.003868394594098,0.0,,
ppo_residual,hebei_central,2022,14.89824096598724,200.0,0.016666666666666666,45.431264585884705,6.730484085282718,200.0,8.167756880704522,0.0,,
ppo_residual,henan_north,2018,15.304742246294754,60.0,0.02654867256637168,44.57436555374405,6.265320447252972,60.0,9.039421799041781,0.0,,
ppo_residual,henan_north,2019,12.689426790001809,340.0,0.017543859649122806,38.78093477703263,4.730149633370204,340.0,7.959277156631605,0.0,,
ppo_residual,henan_north,2020,16.135258023838148,120.0,0.0,43.591541381047485,7.036992704146829,120.0,9.09826531969132,0.0,,
ppo_residual,henan_north,2021,11.141970864735102,200.0,0.026785714285714284,41.043789322177155,3.949227811161785,180.0,7.1927430535733174,20.0,,
ppo_residual,henan_north,2022,15.736734956076083,140.0,0.0,43.55322695594425,6.631136569781312,140.0,9.105598386294771,0.0,,
ppo_residual,shaanxi_guanzhong,2018,15.684183529610792,60.0,0.008547008547008548,46.73015365216565,6.806819768236432,60.0,8.87736376137436,0.0,,
ppo_residual,shaanxi_guanzhong,2019,13.702789014515371,280.0,0.02564102564102564,42.50712394901433,4.862365974728575,280.0,8.840423039786797,0.0,,
ppo_residual,shaanxi_guanzhong,2020,15.654215495840878,80.0,0.008620689655172414,45.78772914808486,6.841072429629916,80.0,8.813143066210962,0.0,,
ppo_residual,shaanxi_guanzhong,2021,16.379365027883093,60.0,0.017094017094017096,46.83773277863255,7.331178719729769,60.0,9.048186308153324,0.0,,
ppo_residual,shaanxi_guanzhong,2022,15.660550666680752,60.0,0.008547008547008548,46.80002000981473,6.877148439534904,60.0,8.78340222714585,0.0,,
ppo_residual,ningxia_irrigation,2018,9.113272825163284,280.0,0.1590909090909091,12.433393901279691,,,,,9.113272825163284,280.0
ppo_residual,ningxia_irrigation,2019,8.319116637830215,320.0,0.1590909090909091,11.400030012914133,,,,,8.319116637830215,320.0
ppo_residual,ningxia_irrigation,2020,6.770090088985384,380.0,0.1590909090909091,9.73337379528111,,,,,6.770090088985384,380.0
ppo_residual,ningxia_irrigation,2021,0.0,0.0,0.0,17.23876693792459,,,,,0.0,0.0
ppo_residual,ningxia_irrigation,2022,10.574241730267536,320.0,0.1590909090909091,11.742372674034957,,,,,10.574241730267536,320.0
