site_id,crop,stage,delta_yield_t_ha,delta_irrigation_mm,mwv_t_ha_per_mm
beijing_plain,wheat,1,0.01372122697328848,58.595764047751004,0.00023416755795020857
beijing_plain,wheat,2,0.00048049276082906545,88.89987800133667,5.4048753680161505e-06
beijing_plain,wheat,3,0.01093930137515109,14.964928326691279,0.0007309959083225192
beijing_plain,wheat,4,-0.008572507095580661,36.23122621160201,-0.00023660549177978313
beijing_plain,maize,1,0.08407141662863182,73.52059505185434,0.0011435083811459352
beijing_plain,maize,2,0.04222370016960397,39.999999999999886,0.0010555925042401023
beijing_plain,maize,3,-0.02221539664029315,104.24613623432924,-0.00021310522809551773
beijing_plain,maize,4,0.001833210670179497,30.0,6.110702233931656e-05
hebei_central,wheat,1,-0.02106171169049631,87.2838000000001,-0.00024130149799271212
hebei_central,wheat,2,-0.008808993179584945,49.60778239600023,-0.00017757280721129745
hebei_central,wheat,3,-0.017891674478898167,31.54475437876488,-0.0005671838260038057
hebei_central,wheat,4,0.027573351737416374,58.60349505357948,0.0004705069503483855
hebei_central,maize,1,0.12472840975188149,8.515916709478915,0.014646504188215993
hebei_central,maize,2,0.02524247941895119,-5.672317126409041,
hebei_central,maize,3,-0.0016448180007682112,19.096327468811694,-8.613268721195444e-05
hebei_central,maize,4,0.01425417425231501,-14.948399999999936,
henan_north,wheat,1,-0.0013659291660133022,118.18255545650032,-1.1557790070938703e-05
henan_north,wheat,2,-0.009203045565058687,76.3420531440375,-0.00012055014485522084
henan_north,wheat,3,0.006863723396989485,-5.063128497688126,
henan_north,wheat,4,0.017380091964724897,104.38997699052726,0.00016649196087381102
henan_north,maize,1,0.07061077272964411,25.171382505336965,0.0028052004181603
henan_north,maize,2,0.023325709290134,29.652803052893262,0.0007866274648142608
henan_north,maize,3,0.000497138459394364,15.0,3.314256395962426e-05
henan_north,maize,4,-1.3025898926599666e-05,20.0,-6.512949463299833e-07
shaanxi_guanzhong,wheat,1,0.017027912355695562,-34.45429555257061,
shaanxi_guanzhong,wheat,2,0.01726414363711548,-19.809121083106618,
shaanxi_guanzhong,wheat,3,0.11597548708696515,-5.534981699955608,
shaanxi_guanzhong,wheat,4,0.034383560774173816,-0.441993549747167,
shaanxi_guanzhong,maize,1,0.09411983313758832,17.914685112136965,0.005253781048812483
shaanxi_guanzhong,maize,2,0.03776844820148817,10.0,0.003776844820148817
shaanxi_guanzhong,maize,3,-0.004760348049330787,40.0,-0.00011900870123326968
shaanxi_guanzhong,maize,4,-0.00034153639595047025,-14.957591754467842,
ningxia_irrigation,maize,1,0.13762284604856667,35.05862456424558,0.003925506141758935
ningxia_irrigation,maize,2,0.08738234198295913,-7.96856800104689,
ningxia_irrigation,maize,3,0.0320169398383765,22.81829296349298,0.001403125987101684
ningxia_irrigation,maize,4,0.036791178286506465,22.997475460555506,0.001599792044548953
