policy,site_id,year,total_yield_t_ha,total_irrigation_mm,action_modified_rate,undiscounted_return,discounted_return,wheat_yield,wheat_irr,maize_yield,maize_irr,spring_maize_yield,spring_maize_irr,seed
threshold_rule,beijing_plain,2018,10.806418455879633,380.0,0.043478260869565216,-4.673276652224328,-3.13870460420768,2.9569990417550898,140.0,7.849419414124545,240.0,,,
threshold_rule,beijing_plain,2019,3.949632681206636,450.0,0.2920353982300885,-6.907454401961349,-5.539725085218662,2.861569065767968,450.0,1.0880636154386676,0.0,,,
threshold_rule,beijing_plain,2020,8.110077411284825,450.0,0.3185840707964602,-6.197761518564036,-4.876861880236931,3.3553801143953756,420.0,4.75469729688945,30.0,,,
threshold_rule,beijing_plain,2021,11.244349594345676,450.0,0.08849557522123894,-5.764673808621218,-4.6999556408539815,3.4890625772905683,440.0,7.755287017055108,10.0,,,
threshold_rule,beijing_plain,2022,12.305479240948276,220.0,0.008695652173913044,-2.513195540275718,-1.8830064137696942,3.3166738599676897,220.0,8.988805380980587,0.0,,,
threshold_rule,hebei_central,2018,12.229664418094668,450.0,0.09565217391304348,-5.518378881839665,-3.7113833135174517,4.267587591794669,120.0,7.962076826299998,330.0,,,
threshold_rule,hebei_central,2019,4.476666324395936,450.0,0.3333333333333333,-6.723919932583839,-5.5238548818379165,4.358338482417192,450.0,0.11832784197874387,0.0,,,
threshold_rule,hebei_central,2020,13.798951842404184,340.0,0.017543859649122806,-3.99166681986668,-3.2102865351137275,4.877406487083702,300.0,8.921545355320482,40.0,,,
threshold_rule,hebei_central,2021,13.78826560542438,440.0,0.0,-5.294930567381316,-4.127470585709521,4.780288199735418,340.0,9.007977405688962,100.0,,,
threshold_rule,hebei_central,2022,13.904617919304762,240.0,0.0,-2.680944178335036,-2.0246245658479545,4.914483238548729,220.0,8.990134680756034,20.0,,,
threshold_rule,henan_north,2018,15.63362905449653,180.0,0.017699115044247787,-1.7974360768737365,-1.4530057352164887,6.594207255454749,180.0,9.039421799041781,0.0,,,
threshold_rule,henan_north,2019,7.106400879375145,450.0,0.30701754385964913,-5.903126470751234,-5.011828265661288,7.106400879375145,450.0,0.0,0.0,,,
threshold_rule,henan_north,2020,15.988689872369903,360.0,0.03571428571428571,-4.120875640086931,-2.9336164298919534,7.285628789859043,200.0,8.70306108251086,160.0,,,
threshold_rule,henan_north,2021,16.476053903956643,450.0,0.017857142857142856,-5.282480583915356,-4.387063019191945,7.509715352816607,400.0,8.966338551140035,50.0,,,
threshold_rule,henan_north,2022,16.318349726262277,340.0,0.008771929824561403,-3.8499086941334295,-2.8076504808870597,7.22296629507398,260.0,9.095383431188298,80.0,,,
threshold_rule,shaanxi_guanzhong,2018,12.47832130058364,280.0,0.02702702702702703,-3.2638929781001593,-2.2297170442657577,4.651803422569631,80.0,7.82651787801401,200.0,,,
threshold_rule,shaanxi_guanzhong,2019,12.541677717745566,450.0,0.03571428571428571,-5.492581317079318,-4.483816186091127,4.734599267893373,340.0,7.8070784498521935,110.0,,,
threshold_rule,shaanxi_guanzhong,2020,13.752046403373203,120.0,0.01818181818181818,-1.1120387494759256,-0.9129448399728476,4.99478606696464,120.0,8.757260336408564,0.0,,,
threshold_rule,shaanxi_guanzhong,2021,14.337950155900536,40.0,0.018018018018018018,-0.03977371497021043,-0.11229850679472697,5.292494400444067,20.0,9.04545575545647,20.0,,,
threshold_rule,shaanxi_guanzhong,2022,13.745014792200223,240.0,0.026785714285714284,-2.6838416165014762,-1.8790692502856372,4.929920927807669,40.0,8.815093864392555,200.0,,,
threshold_rule,ningxia_irrigation,2018,14.553502662349741,440.0,0.045454545454545456,-5.430968508931344,-5.145768083686516,,,,,14.553502662349741,440.0,
threshold_rule,ningxia_irrigation,2019,14.350457563918383,450.0,0.022727272727272728,-5.57823641969267,-5.069438905202652,,,,,14.350457563918383,450.0,
threshold_rule,ningxia_irrigation,2020,11.48959701964236,450.0,0.2727272727272727,-6.0460961021065,-5.606864039076567,,,,,11.48959701964236,450.0,
threshold_rule,ningxia_irrigation,2021,12.724911912858378,450.0,0.38636363636363635,-6.19083206298235,-5.7555756734006644,,,,,12.724911912858378,450.0,
threshold_rule,ningxia_irrigation,2022,14.20102573271984,420.0,0.06818181818181818,-5.1795808993272665,-4.839011237006502,,,,,14.20102573271984,420.0,
quota_reserving_rule,beijing_plain,2018,10.806418455879633,380.0,0.043478260869565216,-4.673276652224328,-3.13870460420768,2.9569990417550898,140.0,7.849419414124545,240.0,,,
quota_reserving_rule,beijing_plain,2019,7.17744800928292,450.0,0.2743362831858407,-7.120617396784491,-5.655556778340657,2.5292308948530557,400.0,4.6482171144298645,50.0,,,
quota_reserving_rule,beijing_plain,2020,10.856743197488404,450.0,0.04424778761061947,-5.587083488922536,-4.381642368872811,3.1230423043952005,280.0,7.733700893093204,170.0,,,
quota_reserving_rule,beijing_plain,2021,11.24149935208299,360.0,0.017699115044247787,-4.381694083251038,-3.706747860998006,3.1847004347517283,300.0,8.05679891733126,60.0,,,
quota_reserving_rule,beijing_plain,2022,12.305479240948276,220.0,0.008695652173913044,-2.513195540275718,-1.8830064137696942,3.3166738599676897,220.0,8.988805380980587,0.0,,,
quota_reserving_rule,hebei_central,2018,12.229664418094668,450.0,0.09565217391304348,-5.518378881839665,-3.7113833135174517,4.267587591794669,120.0,7.962076826299998,330.0,,,
quota_reserving_rule,hebei_central,2019,12.69181919701565,440.0,0.07017543859649122,-5.5494074346955635,-4.719489827841379,3.7918792945546853,400.0,8.899939902460964,40.0,,,
quota_reserving_rule,hebei_central,2020,12.787897157816953,380.0,0.043859649122807015,-4.558824805848334,-3.5392207117483716,4.877406487083702,280.0,7.910490670733252,100.0,,,
quota_reserving_rule,hebei_central,2021,12.849703428668507,440.0,0.0,-5.3366444419037995,-4.0964682777879045,4.780288199735418,280.0,8.069415228933089,160.0,,,
