SMT_w1,SMT_w2,SMT_w3,SMT_w4,SMT_m1,SMT_m2,SMT_m3,SMT_m4,alpha,total_yield_t_ha,total_irrigation_mm,water_loss_mm,yield_cv,site_id,mode
74.9414394996968,27.609645926211765,51.34717770061829,31.730042031503977,57.94544632008246,72.21950611127707,8.32275182261013,90.88939395889166,0.5270427776627068,12.01742214733599,314.131,334.24052894454377,0.020290889546653854,beijing_plain,joint
24.687876687698115,5.901283678503468,15.267425205032787,8.533747331510346,8.583686861584976,75.66771698789007,26.135542928909032,71.711746249662,0.8921680403272534,10.492722747126198,103.81950548218879,108.80530538024239,0.07046928680475684,beijing_plain,joint
21.954519541231253,5.6757446143563595,44.55942591944506,0.3097503669783257,9.351985844638076,24.295339027877695,15.464174490360337,21.914065897616233,0.8547687232733331,7.183904802222133,120.35407452700011,77.61260680215585,0.31420638106789306,beijing_plain,joint
70.82804644880852,45.42516412075126,39.104997251275705,9.997421386705515,50.19051475490202,3.076513885614702,20.857705099063693,90.19739887666819,0.5056634138545743,11.658796112324467,353.78224342740197,175.98259574306283,0.003715868584395159,beijing_plain,joint
28.933808139416207,27.631301409515274,13.982397169707081,5.957035275183184,10.11985177377244,27.183295264315156,53.69720795717926,45.10388861713912,0.8611066337578649,9.099664733594585,335.00161184716865,69.98245896230267,0.181416304598255,beijing_plain,joint
22.19443940261887,5.894192139317392,39.42373041991338,2.4110915458204865,2.4606194203264997,24.29650597737234,15.692451050017864,37.5634468518393,0.8545497048103047,7.1728048344556345,120.45263283536289,78.59995259377645,0.29195705601035987,beijing_plain,joint
75.11439619245242,28.746912310554656,45.04217924056375,31.038738139674514,5.846617347873083,49.1147841240941,13.320243828699642,91.75593050022,0.5218623395575002,11.880250420526739,285.0,344.0379605199913,0.03158747563969587,beijing_plain,joint
69.14600227616248,46.893971701021684,25.71575206363618,60.78686470542938,48.27161872829867,91.71677549519629,17.420898188209527,97.64900197692135,0.8256863633716336,10.496617496901091,450.0,70.41660106727561,0.15893331048099235,beijing_plain,joint
27.383174920771545,4.592361742880693,51.70531136490677,6.469995076484279,10.121514048939527,72.56267710239665,23.26707746356652,67.34176713027736,0.8409003401342839,8.063770185615585,151.59484693957222,76.37964320516761,0.22649495458857252,beijing_plain,joint
26.642850411036093,5.893689439676708,4.647322560739813,2.981335412389345,9.866363581948274,79.91635059497565,14.35768725127626,98.96930283222922,0.8927542626810115,7.663342361619494,123.26058179354482,105.69765251271797,0.24749262614403864,beijing_plain,joint
29.531524915948637,45.727049922910425,13.82714436127237,8.004287388765917,49.139886852671744,88.55729980002835,47.92677997119626,90.25692231631805,0.4393752134050438,11.687507579254673,396.36869238063815,161.36239993776724,0.00404920570712761,beijing_plain,joint
68.53556874527504,5.858013325202147,18.072965796164414,18.535730467453476,10.630857343797423,67.53293392736532,13.330471415438229,67.60484037620937,0.8166799609565188,10.658790852711647,234.1248479538167,124.02532221823762,0.12918992146419653,beijing_plain,joint
69.14600227616248,46.893971701021684,26.81924479162057,60.78686470542938,48.27161872829867,91.71677549519629,17.420898188209527,97.64900197692135,0.8326440437374595,10.480236760411664,449.9776110055549,70.88861774469005,0.11573027987457021,beijing_plain,joint
20.743981810858685,4.693092307196248,44.1458535854173,32.10155517043936,10.123326840759596,49.72440919408917,23.347166459326218,69.55537273080022,0.7871228591884304,10.212594661917693,242.4768280191238,152.05150349299947,0.029254330552508718,beijing_plain,joint
26.46917014598553,32.22418534901559,49.13408223881052,31.519862737596448,48.584494771040056,84.79465730358461,5.8968736768913566,91.66886348346969,0.45719276009778936,11.921913578548487,366.210603851075,316.1825284527425,0.022444422804659764,beijing_plain,joint
69.14600227616248,47.980070792401946,25.71575206363618,60.70291506427922,50.37283911139133,91.71677549519629,17.57669847988362,97.64900197692135,0.43561665598744415,11.757927753040276,423.20942776149406,275.79723555012765,0.016509364299652184,beijing_plain,joint
26.712214653192294,5.893689439676708,4.647322560739813,2.9072564761356006,9.866363581948274,25.47848837091537,14.228371343057564,98.78517051612356,0.8545497048103047,7.5445998715417115,145.4526328353629,75.19143518592865,0.2657775777118153,beijing_plain,joint
31.902711872760886,5.8666546466538065,17.486183814624216,0.5320465260420097,15.971601630362828,28.05934449548107,11.135912672808056,20.62671990606692,0.854761595356246,8.497045132077284,162.28582567175144,74.38254383887511,0.20304285003137848,beijing_plain,joint
71.19511807249309,25.32711758659007,16.055588964749962,7.143063007564823,51.867917212589674,54.85354024320321,14.011376062025443,57.35379170513978,0.45220398056917466,11.412331639648484,250.346530437627,259.24546015332254,0.038849424966070294,beijing_plain,joint
31.93788267676583,9.604758786104636,13.982397169707081,19.475895227032776,10.11985177377244,27.183295264315156,53.69720795717926,45.10388861713912,0.8611066337578649,9.655532085091895,270.00161184716865,73.55533185680375,0.1484251467272467,beijing_plain,joint
29.07564591494769,4.618888230912204,38.88386461416603,2.616058848724699,16.498865788282476,81.52626312605547,16.492349409576864,68.77893544384783,0.7458233773978982,9.999296009185233,179.37948017094584,110.03074335755316,0.055746444337605235,beijing_plain,joint
68.37163399031768,5.8422449623801604,18.072965796164414,18.535730467453476,10.630857343797423,75.66833194197727,13.330471415438229,67.60484037620937,0.451758644209408,11.420683713321395,213.14759306694015,280.2274814347055,0.0553340694945386,beijing_plain,joint
20.820927536367446,4.693092307196248,39.10918176677411,27.45953036560941,47.20026064485947,79.37557896312138,23.705530792978458,90.04486278273959,0.7871228591884304,11.295771946911234,225.79471336520632,144.76871748795986,0.08541961438790126,beijing_plain,joint
26.46917014598553,45.891390210980276,48.499247768392706,59.230706941968734,48.584494771040056,88.1608202474634,49.10162559574246,90.25692231631805,0.4595159553580773,11.71155815264598,419.92984243412775,226.0370224007126,0.006606376916207724,beijing_plain,joint
73.16401371397063,7.635554155994929,5.120274588645392,6.03360144387938,9.927842203834729,75.65683196023792,13.35430901202052,67.60371035756764,0.45142078426566284,10.803679121961022,210.22126303656214,212.8582159582401,0.0460586984136854,beijing_plain,joint
70.09077085986813,45.42516412075126,39.012942155844115,2.53726786829838,60.44968944444036,3.076513885614702,20.69081882109523,90.19739887666819,0.5497426472608873,11.531394421992488,362.69008523956046,174.0592358006827,0.015930376478498695,beijing_plain,joint
21.564382251248134,5.858027887762329,5.223960702439726,1.6003717077547321,9.351804946910134,24.295339027877695,15.464174490360337,21.914065897616233,0.7904402468186614,8.301132251741418,141.5811333589614,95.47733070473183,0.20589552891454382,beijing_plain,joint
24.7757403282456,45.891390210980276,51.45407559584731,59.230706941968734,8.945801848665514,25.69028911292311,47.92677997119626,26.021881332370114,0.5041342025129399,11.110409570468198,406.11623467849375,83.11357933675502,0.055582742090212724,beijing_plain,joint
70.97443375219311,5.8422449623801604,18.072965796164414,17.54371971059147,9.9435961308542,75.66833194197727,0.6325029410960585,67.68511861460702,0.4645341287925453,11.515847018345333,219.38272616721528,248.42915953008665,0.04027275225872506,beijing_plain,joint
24.69904748889755,5.858027887762329,17.486183814624216,0.5320465260420097,9.264802984624076,28.09420399302747,15.464174490360337,21.914065897616233,0.854761595356246,7.257009969801861,130.3572820896893,77.65612827909112,0.29922524423218333,beijing_plain,joint
27.383174920771545,7.600993003755024,51.70531136490677,6.396232974797137,10.121514048939527,72.56267710239665,23.65226812947779,66.70627767072178,0.8409003401342839,10.06022074818605,166.59484693957222,84.98127336256174,0.09036197543008023,beijing_plain,joint
27.610177794681867,4.618888230912204,38.88386461416603,6.467102121698804,9.823255239721158,79.49795651540968,16.469653771176613,68.77893544384783,0.7458233773978982,9.363150634265496,186.50358413675667,76.28839004625382,0.09865043703832171,beijing_plain,joint
23.105472233511723,7.633947967681092,4.813437841372782,18.598462192475054,8.567932934565505,56.111861343853114,2.9833275245888125,66.660894579687,0.8994614334381411,10.914395582149785,157.14541297170192,202.81555115567272,0.12796005984414702,beijing_plain,joint
24.69904748889755,5.858027887762329,39.79731756667715,0.5320465260420097,9.264802984624076,24.23395844639932,15.464174490360337,21.914065897616233,0.8403207187677298,7.583376189808483,131.85567655452155,79.27934811045893,0.24245622058610608,beijing_plain,joint
25.85046399070081,4.618888230912204,38.88386461416603,27.92740061551872,45.90264981013681,79.49795651540968,16.4079795858784,73.40974933683891,0.7253124309786001,11.305096011816563,244.16564363577794,133.7191739506931,0.07376545329406732,beijing_plain,joint
29.71267286762119,7.203566428301009,4.332088171387724,7.117215905398654,8.567932934565505,75.83812229080223,25.37811898910058,71.711746249662,0.8994614334381411,8.257615184340047,146.1938839622692,92.40295760140792,0.21341070763530873,beijing_plain,joint
22.26716186305405,5.858027887762329,38.913307756580906,0.5320465260420097,9.351804946910134,24.295339027877695,15.464174490360337,21.914065897616233,0.8547687232733331,7.183904802222133,120.35407452700011,77.61260680215585,0.31420638106789306,beijing_plain,joint
28.893571368745754,5.894192139317392,17.106464431565517,1.5194458757684735,3.0778353730870527,24.736653780767973,9.303121660528706,97.90825972637467,0.8599868761526888,7.35932249646262,133.00590573129006,75.92999859852591,0.29663806326865366,beijing_plain,joint
28.933808139416207,27.81269557019397,13.982397169707081,5.957035275183184,10.11985177377244,27.183295264315156,53.89852971187362,45.13514625909017,0.8989247591051993,8.958145724168443,320.4838584026603,71.16767537086592,0.15592895024786074,beijing_plain,joint
64.78713732279432,9.604758786104636,13.982397169707081,18.186305501626226,9.918713080247967,77.94560083891093,42.5238682199036,45.10388861713912,0.8611066337578649,9.949309711140172,302.62221098187035,76.89070971542796,0.1226337687463733,beijing_plain,joint
21.564382251248134,5.858027887762329,5.223960702439726,30.535634395578306,9.351804946910134,25.29897134886746,15.464174490360337,21.914065897616233,0.5200831946382528,9.795770529755682,236.80748751744278,94.63333102851718,0.07223242855606951,beijing_plain,joint
67.43719987309152,27.609645926211765,51.34717770061829,31.81641898681492,48.285565589687785,75.06034242030333,8.32275182261013,89.96746180674116,0.5152987794062082,11.998431915880456,305.0,327.36724350963385,0.02104755355100038,beijing_plain,joint
26.392477306637478,5.858027887762329,17.486183814624216,0.5320465260420097,49.17203180077969,90.53597887319017,15.464174490360337,80.0955932417917,0.8099651075843508,8.74993836999884,195.51570158704214,72.61993490653815,0.10792734387926435,beijing_plain,joint
71.55971468212493,5.888359613022077,47.21978623432952,5.6515886448797765,51.43821229252302,75.68365591109789,6.616634206422585,67.78966099933663,0.45191697047228996,11.234053608906706,204.63157538744946,239.76968365132188,0.023808804276536883,beijing_plain,joint
71.55971468212493,5.888359613022077,47.21978623432952,5.6515886448797765,46.34341138337773,75.68365591109789,6.616634206422585,67.78966099933663,0.45191697047228996,11.21222348493372,202.43550448807673,240.7607119970849,0.025261317358766217,beijing_plain,joint
38.12360270786043,27.812776684002785,13.504578892477266,7.043137028574266,8.567932934565505,24.84302151601003,25.248803081146654,45.97328891670877,0.8602186743421028,9.075781028417495,310.321277236843,71.51571474231521,0.18446899032668304,beijing_plain,joint
26.712214653192294,14.76090611407722,2.3643988369502535,10.367484172907012,9.94629851451381,25.47848837091537,14.395257621026282,98.78517051612356,0.8545497048103047,8.227982123644113,227.3621062682903,71.88066822306894,0.26077868198801246,beijing_plain,joint
71.32300367803145,13.770779868637373,51.34678232710247,32.050718977616135,47.583300848357126,49.1147841240941,16.325109305283153,82.17135163409668,0.5223076759172669,11.73190613370846,344.232818334892,217.69980244920734,0.01054358269444572,beijing_plain,joint
21.219994906806885,39.67315318785698,4.739922034776242,22.962086335952964,79.95395011148764,28.60628618662348,27.63076427776955,81.6952200864795,0.7,12.07473125222245,285.06056539928915,259.8417649670755,0.01857220850789585,beijing_plain,fixed_best
45.05838352479168,41.52896144708609,0.0008995889787399847,26.166927449693603,77.11180549485778,32.002553743679144,45.681646101351674,57.86750085789171,0.7,10.809983711110647,406.0,73.98638455238734,0.17857647123184556,beijing_plain,fixed_best
46.69105966577883,5.963617242200392,3.9018826100036037,0.2747147602664146,33.61617525448003,33.14781578898911,65.27064429537465,40.207483806970934,0.7,9.921056667092813,255.0,80.3397152966298,0.004920454962906738,beijing_plain,fixed_best
8.222409148784909,8.84277481849479,40.00476006530825,0.07437256910990442,6.5227010891464765,15.22334505081782,54.3391829227249,2.9675810917787624,0.7,8.407035375157623,201.0,74.58873532008316,0.12668106407774787,beijing_plain,fixed_best
45.49516505167349,8.96160344922851,47.127734194764216,19.30981410319351,13.740679326311032,28.50803630471546,27.816874116216574,3.4068893656078387,0.7,9.842877324072264,270.0,70.36243856848165,0.07992507142350495,beijing_plain,fixed_best
2.554172309252899,6.175269010124275,27.720716648442632,3.7784321719972156,4.971496580097829,21.265268434098708,18.585826304080612,57.04877999764878,0.7,10.238235332248346,111.00000000000003,142.38955148502322,0.11844610727775284,beijing_plain,fixed_best
39.4813545160971,35.796021944008,2.668755479110075,33.611377444774995,39.56800307823676,33.14136485206775,52.840383672332635,41.045968892252645,0.7,10.77472159120246,423.0,74.17729155926789,0.16367838869263684,beijing_plain,fixed_best
40.325396926622965,8.187538958622238,47.127734194764216,18.606528763835243,13.740679326311032,25.866121732199208,27.816874116216574,82.34699342316567,0.7,11.654010667252066,190.0,365.7277873920964,0.038020278983124135,beijing_plain,fixed_best
6.362418972965283,34.70322651034047,3.9326192465975547,25.346023208152435,78.44464143888725,32.138498751798885,52.42208392675035,58.18958066944766,0.7,11.504705104919156,374.71870350381334,87.75869555467234,0.04138640761397166,beijing_plain,fixed_best
4.198394493783805,34.07936110935914,7.747214963325961,23.0713007754457,4.619159759355455,27.82821899938573,54.15450637806411,97.98525289521515,0.7,11.924845736603725,253.32272902783384,325.9927729569764,0.01975863524254057,beijing_plain,fixed_best
3.0564335534083877,8.19696134566921,58.60720032669501,1.5971275319289968,6.628381235366186,31.380359876543874,18.906572089585644,57.04877999764878,0.7,9.486540101805653,128.00000000000003,104.72934952377634,0.10619997798447418,beijing_plain,fixed_best
39.628214458799135,8.156101728009967,47.127734194764216,18.703071487835174,13.501683470746872,25.21361575472199,29.067695578580047,67.07272483887142,0.7,11.332885319654666,170.0,178.60618276188845,0.04372925073413132,beijing_plain,fixed_best
39.842098831946046,8.156101728009967,47.127734194764216,18.731525830467227,13.501683470746872,25.21361575472199,29.067695578580047,80.63547831234605,0.7,11.654551070065532,180.0,349.45232041567766,0.038084443592075676,beijing_plain,fixed_best
33.16274026850471,8.170872676681064,61.69227254762255,23.053030919724435,67.4779003960515,27.686994093496907,53.91072185286021,59.097934684363985,0.7,11.028016384174219,225.44140000000002,147.06944177085433,0.04032902026578508,beijing_plain,fixed_best
20.991309281245822,40.25362282105526,6.061595563888653,0.14301357589035213,40.59624524352414,28.98536094630426,25.925906981960807,73.26145315544939,0.7,10.796180647590177,351.0,77.31217511321047,0.1395622342865087,beijing_plain,fixed_best
48.21352014840781,35.63295534406722,4.48615224068378,42.51242838709625,33.47426282891888,33.14781578898911,52.5043207669704,81.5698762376337,0.7,11.751982053952112,357.0,205.50601633704915,0.015711352835334924,beijing_plain,fixed_best
38.15800249225903,8.199126500670404,69.12293723543709,2.9588251920669997,6.847564266117992,22.78960383622455,21.263203339131863,40.030628214673214,0.7,9.750838476608672,139.0,100.73568300973804,0.08281652354108787,beijing_plain,fixed_best
