algorithm,site_id,hv_mean,hv_std
NSGA-II,hebei_central,0.8761000357125618,0.07913752046230249
NSGA-III,hebei_central,0.9789372004567336,0.08482841112952476
MOEA/D,hebei_central,0.3494791420593779,0.17189613948640212
