algorithm,site_id,hv_mean,hv_std
NSGA-II,hebei_central,0.8258896117513345,0.01333516684677242
NSGA-III,hebei_central,0.791948082987202,0.01429658821541004
MOEA/D,hebei_central,0.2891562515710218,0.05346721237160895
