MinTemp,MaxTemp,Precipitation,ReferenceET,Date
-10.694650537634407,-1.7852956989247313,0.0,0.5167574692020347,1981-01-01
-11.994650537634408,0.9147043010752687,0.0,0.5934488525596758,1981-01-02
-11.294650537634409,2.214704301075269,0.0,0.6632588164404603,1981-01-03
-8.694650537634407,2.114704301075269,0.0,0.9773535349986223,1981-01-04
-4.694650537634408,1.2147043010752687,0.0,1.0253694307404284,1981-01-05
-4.594650537634408,0.9147043010752687,0.0,0.6389079103456556,1981-01-06
-6.494650537634408,1.6147043010752689,0.0,0.47230022957870815,1981-01-07
-6.194650537634408,2.3147043010752686,0.9250072659596166,0.49820224644226907,1981-01-08
-8.494650537634408,-0.8852956989247314,3.0393095881530257,0.6003701897217344,1981-01-09
-14.694650537634407,-1.2852956989247313,0.0,0.6181996213738744,1981-01-10
-13.694650537634407,2.114704301075269,0.0,0.7670560049376209,1981-01-11
-10.094650537634408,3.1147043010752684,0.0,0.996684180007749,1981-01-12
-8.994650537634408,8.014704301075268,0.0,1.4538810237805224,1981-01-13
-6.594650537634408,5.114704301075268,0.0,1.046227455790909,1981-01-14
-7.794650537634409,0.7147043010752687,0.0,0.8150626395951488,1981-01-15
-8.394650537634408,3.5147043010752688,0.0,0.8403402503373316,1981-01-16
-7.694650537634407,4.714704301075269,0.0,0.8263304292831501,1981-01-17
-7.094650537634408,1.8147043010752686,0.0,0.7236288610968172,1981-01-18
-9.294650537634409,4.114704301075268,0.0,0.7885094951515491,1981-01-19
-5.094650537634408,2.714704301075269,0.0,0.9337435634905211,1981-01-20
-5.494650537634408,2.8147043010752686,0.1321438951370881,0.7933146726920574,1981-01-21
-4.994650537634408,1.4147043010752687,0.0,0.6262882909445031,1981-01-22
-10.294650537634409,-4.985295698924731,0.0,0.6478852643557681,1981-01-23
-13.694650537634407,-6.385295698924731,0.0,0.6103030025775475,1981-01-24
-14.494650537634408,-8.38529569892473,0.3964316854112642,0.624884853467658,1981-01-25
-18.19465053763441,-8.285295698924731,0.0,0.5301650613471112,1981-01-26
-16.594650537634408,-3.6852956989247314,0.0,0.5932495709654872,1981-01-27
-15.194650537634407,-0.6852956989247312,0.0,0.7507831711598567,1981-01-28
-8.494650537634408,0.3147043010752687,0.0,0.8524024836047035,1981-01-29
-13.094650537634408,1.5147043010752688,0.0,0.8441412043177895,1981-01-30
-10.294650537634409,1.6147043010752689,0.0,0.955967547443139,1981-01-31
-13.682743362831857,1.9335103244837755,0.0,0.8879416326784394,1981-02-01
-8.882743362831858,0.3335103244837755,0.0,1.077641240535287,1981-02-02
-8.682743362831857,3.933510324483776,0.0,1.1550377331133934,1981-02-03
-8.682743362831857,3.633510324483775,0.0,0.9271606845147076,1981-02-04
-5.582743362831859,4.933510324483776,0.0,1.005908694518933,1981-02-05
-9.682743362831857,3.633510324483775,0.0,1.0111785810206313,1981-02-06
-7.282743362831858,5.133510324483775,0.0,1.4747975073955124,1981-02-07
-7.182743362831858,2.3335103244837754,0.0,1.4137454470199964,1981-02-08
-11.682743362831857,1.8335103244837754,0.0,1.0088065434611986,1981-02-09
-10.682743362831857,5.733510324483776,0.0,1.3559500290943582,1981-02-10
-6.382743362831858,10.233510324483776,0.0,1.8679055976843757,1981-02-11
-5.882743362831858,9.233510324483776,0.0,1.6564911537430815,1981-02-12
