dropped_site,corr_two_factor,corr_distance
beijing_plain,0.9800361257610812,0.6417058577727982
hebei_central,0.9743874393299198,0.6464227816199596
henan_north,0.9763476548657448,0.7111396974733977
ningxia_irrigation,0.6354190673693865,0.6992305232364443
shaanxi_guanzhong,0.9853453134083504,0.9924634626493019
none,0.9710855757306366,0.7020781363616252
