site_id,crop,stage,delta_yield_t_ha,delta_irrigation_mm,mwv_t_ha_per_mm,smt_delta_pp,baseline_irrigation_mm,perturbed_irrigation_mm,baseline_yield_t_ha,perturbed_yield_t_ha
beijing_plain,wheat,1,0.14936234940287818,15.024710572019217,0.009941113253857835,15,534.4493416530286,549.4740522250478,14.413157159963315,14.562519509366194
beijing_plain,wheat,2,0.10173248605196505,51.06144687558617,0.0019923541590946585,15,534.4493416530286,585.5107885286147,14.413157159963315,14.51488964601528
beijing_plain,wheat,3,0.0,0.0,,15,534.4493416530286,534.4493416530286,14.413157159963315,14.413157159963315
beijing_plain,wheat,4,0.057070709976006384,22.958651477881403,0.002485804100079174,15,534.4493416530286,557.40799313091,14.413157159963315,14.470227869939322
beijing_plain,maize,1,0.1447636089912212,-54.56461759817421,,15,534.4493416530286,479.88472405485436,14.413157159963315,14.557920768954537
beijing_plain,maize,2,0.06220299197160983,-55.0,,15,534.4493416530286,479.44934165302857,14.413157159963315,14.475360151934925
beijing_plain,maize,3,-0.027126508174003305,29.835021793454644,-0.000909216971980039,15,534.4493416530286,564.2843634464832,14.413157159963315,14.386030651789312
beijing_plain,maize,4,-0.024301891249262297,-50.033368754111166,,15,534.4493416530286,484.4159728989174,14.413157159963315,14.388855268714053
hebei_central,wheat,1,-0.04315086660083267,47.50554678878109,-0.0009083332267006593,15,459.8116,507.3171467887811,15.781066540123778,15.737915673522945
hebei_central,wheat,2,0.07882746503744542,20.189673834639393,0.003904345641394229,15,459.8116,480.0012738346394,15.781066540123778,15.859894005161223
hebei_central,wheat,3,0.05874196738164272,8.749454405953543,0.006713786329542093,15,459.8116,468.56105440595354,15.781066540123778,15.83980850750542
hebei_central,wheat,4,-0.0031019726423675564,74.10735126350608,-4.185782637592544e-05,15,459.8116,533.9189512635061,15.781066540123778,15.77796456748141
hebei_central,maize,1,0.19537787196475165,40.83064012332113,0.0047850798168887435,15,459.8116,500.64224012332113,15.781066540123778,15.97644441208853
hebei_central,maize,2,0.06562589119323725,24.831484117398873,0.002642850136663988,15,459.8116,484.64308411739887,15.781066540123778,15.846692431317015
hebei_central,maize,3,0.010902856090739377,69.16197180902816,0.00015764235468654114,15,459.8116,528.9735718090282,15.781066540123778,15.791969396214517
hebei_central,maize,4,0.0032964949082483486,-5.0,,15,459.8116,454.8116,15.781066540123778,15.784363035032026
henan_north,wheat,1,-0.10526799561347389,8.526891303769276,-0.012345413101131079,15,469.6375086962307,478.1644,18.257669318972724,18.15240132335925
henan_north,wheat,2,-0.10526026871011851,73.75980784246872,-0.001427068098318889,15,469.6375086962307,543.3973165386994,18.257669318972724,18.152409050262605
henan_north,wheat,3,0.02912561115448753,15.010000000000048,0.0019404138010984302,15,469.6375086962307,484.6475086962308,18.257669318972724,18.28679493012721
henan_north,wheat,4,0.004691058242613622,29.778200000000083,0.0001575333043170376,15,469.6375086962307,499.4157086962308,18.257669318972724,18.262360377215337
henan_north,maize,1,0.07671595759657635,7.387519742154382,0.010384535036681214,15,469.6375086962307,477.0250284383851,18.257669318972724,18.3343852765693
henan_north,maize,2,0.043004363700106296,5.008000000000095,0.008587133326698379,15,469.6375086962307,474.6455086962308,18.257669318972724,18.30067368267283
henan_north,maize,3,-0.0013005646881900645,19.755066248356968,-6.583448882628944e-05,15,469.6375086962307,489.3925749445877,18.257669318972724,18.256368754284534
henan_north,maize,4,0.0035447838735400694,0.012000000000057298,0.2953986561269286,15,469.6375086962307,469.6495086962308,18.257669318972724,18.261214102846264
shaanxi_guanzhong,wheat,1,0.0023423060181677613,2.853400000000022,0.0008208824623844338,15,254.849,257.7024,16.085538504630566,16.087880810648734
shaanxi_guanzhong,wheat,2,-0.0013823580610896613,10.0,-0.00013823580610896613,15,254.849,264.849,16.085538504630566,16.084156146569477
shaanxi_guanzhong,wheat,3,-0.004910816845022481,5.0,-0.000982163369004496,15,254.849,259.849,16.085538504630566,16.080627687785544
shaanxi_guanzhong,wheat,4,0.0014763097176810902,40.0,3.690774294202725e-05,15,254.849,294.849,16.085538504630566,16.087014814348247
shaanxi_guanzhong,maize,1,0.10146165250261063,18.470273387639963,0.005493240428726263,15,254.849,273.31927338763995,16.085538504630566,16.187000157133177
shaanxi_guanzhong,maize,2,0.05098852496673345,9.559569222106973,0.005333768058169398,15,254.849,264.40856922210696,16.085538504630566,16.1365270295973
shaanxi_guanzhong,maize,3,-0.006147293367806839,15.0,-0.0004098195578537892,15,254.849,269.849,16.085538504630566,16.07939121126276
shaanxi_guanzhong,maize,4,1.1333156635373598e-12,20.0,5.666578317686799e-14,15,254.849,274.849,16.085538504630566,16.0855385046317
ningxia_irrigation,maize,1,0.09365173170533048,5.755217591433734,0.016272491911465688,15,495.0,500.75521759143373,14.292555723904735,14.386207455610066
ningxia_irrigation,maize,2,0.11696089756192052,-5.203484338439182,,15,495.0,489.7965156615608,14.292555723904735,14.409516621466656
ningxia_irrigation,maize,3,0.054363773386304715,31.607634363648117,0.0017199570445812417,15,495.0,526.6076343636481,14.292555723904735,14.34691949729104
ningxia_irrigation,maize,4,0.034351517034789225,24.75482679863785,0.001387669455909077,15,495.0,519.7548267986379,14.292555723904735,14.326907240939525
