site_id,smt_level,alpha,mean_total_yield,std_total_yield,mean_total_irr
beijing_plain,conservative,0.1,12.819056781323159,1.0561678079800465,187.85714285714286
beijing_plain,conservative,0.2,13.245170663687736,0.9680420314158872,222.14285714285714
beijing_plain,conservative,0.3,13.622608885017618,0.7530194647097778,270.7142857142857
beijing_plain,conservative,0.4,13.914943374919373,0.6325638768216518,304.2857142857143
beijing_plain,conservative,0.5,14.024848296866775,0.6001290548963217,335.7142857142857
beijing_plain,conservative,0.6,14.067369114394632,0.49494190360470014,358.57142857142856
beijing_plain,conservative,0.7,13.79265948844868,1.1627348772714752,359.2857142857143
beijing_plain,conservative,0.8,14.071268160003358,0.9842655604501388,329.2857142857143
beijing_plain,conservative,0.9,13.662833412531725,2.0066676330989037,315.0
beijing_plain,moderate,0.1,13.052758576256588,0.8944319915572815,224.07532985153972
beijing_plain,moderate,0.2,13.517134870982341,0.6410721122332383,265.76143312867356
beijing_plain,moderate,0.3,13.823400297959255,0.5684445565608589,318.35708072037875
beijing_plain,moderate,0.4,14.101869915619845,0.45310244806240957,354.57437640648055
beijing_plain,moderate,0.5,14.34464104644353,0.3234817275004457,386.19622232091507
beijing_plain,moderate,0.6,14.251048461868512,0.7443216727850747,410.33198418551495
beijing_plain,moderate,0.7,13.933213088291343,1.542260544574725,418.2348926430922
beijing_plain,moderate,0.8,13.471469881829714,2.1832184504805876,405.8254651690244
beijing_plain,moderate,0.9,13.02658666153915,2.522144661130794,386.38957960569707
beijing_plain,aggressive,0.1,13.112658404590727,0.8809239222930723,334.4754841757114
beijing_plain,aggressive,0.2,13.579109095466594,0.6450202614853482,370.03646917107073
beijing_plain,aggressive,0.3,13.870432785615028,0.532116473368682,409.3697720735526
beijing_plain,aggressive,0.4,14.139049317369585,0.4289142680060995,436.86816764557796
beijing_plain,aggressive,0.5,14.334073781822994,0.3909234931090465,443.50783209299107
beijing_plain,aggressive,0.6,14.103160400805479,1.1470947867502646,450.0
beijing_plain,aggressive,0.7,13.757645797197323,1.9032668335832237,444.37796202383726
beijing_plain,aggressive,0.8,13.099954157590691,2.2508750760394194,439.3653829830827
beijing_plain,aggressive,0.9,13.075643015649446,2.6532185970619038,428.03573569399487
hebei_central,conservative,0.1,12.834354528112323,1.4849346230109892,205.71428571428572
hebei_central,conservative,0.2,13.61594547057602,1.1819272139111152,229.28571428571428
hebei_central,conservative,0.3,14.20695472463007,1.0579464773978273,288.57142857142856
hebei_central,conservative,0.4,14.69038787903351,0.6762404117101262,322.85714285714283
hebei_central,conservative,0.5,14.992382325646101,0.5117114710883998,357.14285714285717
hebei_central,conservative,0.6,14.858243340999833,1.0188124392780773,382.85714285714283
hebei_central,conservative,0.7,14.37799737905698,2.2834941186288025,395.0
hebei_central,conservative,0.8,14.616497907973738,1.1674896973978959,383.57142857142856
hebei_central,conservative,0.9,13.382650403332338,2.494718988158124,350.7142857142857
hebei_central,moderate,0.1,13.321822644033416,1.2686054332571481,242.76694257965488
hebei_central,moderate,0.2,14.010875212695613,1.0522752168904097,292.50164203187677
hebei_central,moderate,0.3,14.534664792415073,0.8747817509319187,337.4296762778573
hebei_central,moderate,0.4,14.93210029074649,0.7285269423962492,365.04587388970185
