policy,site_id,year,preference,total_yield_t_ha,total_irrigation_mm,action_modified_rate,undiscounted_return,discounted_return,wheat_yield,wheat_irr,maize_yield,maize_irr,spring_maize_yield,spring_maize_irr,seed
ppo_direct_gamma1,beijing_plain,2018,balanced,12.838435383865056,120.0,0.0625,-1.2760121685601469,-1.2760121685601469,2.783751619262182,40.0,10.054683764602874,80.0,,,0
ppo_direct_gamma1,beijing_plain,2018,yield_max,12.79450450544426,110.0,0.07142857142857142,-0.1815342718211036,-0.1815342718211036,2.717802187691998,30.0,10.076702317752263,80.0,,,0
ppo_direct_gamma1,beijing_plain,2018,water_min,12.073548733499218,80.0,0.0625,-1.7562991866777582,-1.7562991866777582,2.6813558362564787,20.0,9.392192897242738,60.0,,,0
ppo_direct_gamma1,beijing_plain,2018,cost_min,12.073548733499218,80.0,0.0625,-1.889632520011095,-1.889632520011095,2.6813558362564787,20.0,9.392192897242738,60.0,,,0
ppo_direct_gamma1,beijing_plain,2018,risk_min,7.2530595794797685,450.0,0.9285714285714286,-2.301368917743044,-2.301368917743044,2.9625787023318564,450.0,4.290480877147912,0.0,,,0
ppo_direct_gamma1,beijing_plain,2018,yield_vs_water,12.873847526799993,170.0,0.10714285714285714,-1.623197703756654,-1.623197703756654,2.798485221986166,30.0,10.075362304813828,140.0,,,0
ppo_direct_gamma1,beijing_plain,2018,water_vs_cost,12.073548733499218,80.0,0.0625,-1.834076964455536,-1.834076964455536,2.6813558362564787,20.0,9.392192897242738,60.0,,,0
ppo_direct_gamma1,beijing_plain,2019,balanced,8.408358782063805,450.0,0.2,-6.456378821477848,-6.456378821477848,1.4921635736723358,375.0,6.9161952083914695,75.0,,,0
ppo_direct_gamma1,beijing_plain,2019,yield_max,9.527934108096948,450.0,0.3181818181818182,-3.297929812267034,-3.297929812267034,1.2620561595611852,390.0,8.265877948535763,60.0,,,0
ppo_direct_gamma1,beijing_plain,2019,water_min,9.71834563542006,450.0,0.2636363636363636,-9.918751717073631,-9.918751717073631,1.5154446214911184,390.0,8.202901013928942,60.0,,,0
ppo_direct_gamma1,beijing_plain,2019,cost_min,8.755123606308743,425.0,0.18181818181818182,-9.341377422271078,-9.341377422271078,1.4745255231105423,380.0,7.280598083198202,45.0,,,0
ppo_direct_gamma1,beijing_plain,2019,risk_min,5.036939581129053,450.0,0.5545454545454546,-5.955782395323801,-5.955782395323801,2.4836005317152736,450.0,2.5533390494137795,0.0,,,0
ppo_direct_gamma1,beijing_plain,2019,yield_vs_water,7.454401445015214,450.0,0.22727272727272727,-5.850708577346549,-5.850708577346549,1.5087528927641267,400.0,5.945648552251087,50.0,,,0
ppo_direct_gamma1,beijing_plain,2019,water_vs_cost,9.435320819118681,450.0,0.2636363636363636,-10.757111956479386,-10.757111956479386,1.5031700806534585,385.0,7.932150738465222,65.0,,,0
ppo_direct_gamma1,beijing_plain,2020,balanced,7.8114157984347194,160.0,0.09090909090909091,-2.2030564661458203,-2.2030564661458203,0.6237055761999197,40.0,7.1877102222347995,120.0,,,0
ppo_direct_gamma1,beijing_plain,2020,yield_max,3.7677471933531033,110.0,0.07272727272727272,-0.8817023561398627,-0.8817023561398627,0.6277103468285454,50.0,3.140036846524558,60.0,,,0
ppo_direct_gamma1,beijing_plain,2020,water_min,7.8114157984347194,160.0,0.09090909090909091,-3.4229863387586805,-3.4229863387586805,0.6237055761999197,40.0,7.1877102222347995,120.0,,,0
ppo_direct_gamma1,beijing_plain,2020,cost_min,7.8114157984347194,160.0,0.09090909090909091,-3.6896530054253467,-3.6896530054253467,0.6237055761999197,40.0,7.1877102222347995,120.0,,,0
ppo_direct_gamma1,beijing_plain,2020,risk_min,12.597958907865625,340.0,0.2636363636363636,-1.7096334391669985,-1.7096334391669985,1.1568650823830435,175.0,11.44109382548258,165.0,,,0
ppo_direct_gamma1,beijing_plain,2020,yield_vs_water,7.8114157984347194,160.0,0.09090909090909091,-1.814931693793389,-1.814931693793389,0.6237055761999197,40.0,7.1877102222347995,120.0,,,0
ppo_direct_gamma1,beijing_plain,2020,water_vs_cost,7.8114157984347194,160.0,0.09090909090909091,-3.7785418943142353,-3.7785418943142353,0.6237055761999197,40.0,7.1877102222347995,120.0,,,0
ppo_direct_gamma1,beijing_plain,2021,balanced,11.833698099750963,40.0,0.06363636363636363,-0.499957172659909,-0.499957172659909,0.7961003518919771,40.0,11.037597747858985,0.0,,,0
ppo_direct_gamma1,beijing_plain,2021,yield_max,11.833698099750963,40.0,0.06363636363636363,-0.02214727437706121,-0.02214727437706121,0.7961003518919771,40.0,11.037597747858985,0.0,,,0
ppo_direct_gamma1,beijing_plain,2021,water_min,11.833698099750963,40.0,0.03636363636363636,-0.9555448487205309,-0.9555448487205309,0.7961003518919771,40.0,11.037597747858985,0.0,,,0
ppo_direct_gamma1,beijing_plain,2021,cost_min,11.833698099750963,40.0,0.08181818181818182,-1.0222115153871978,-1.0222115153871978,0.7961003518919771,40.0,11.037597747858985,0.0,,,0
ppo_direct_gamma1,beijing_plain,2021,risk_min,12.727805136923068,185.0,0.2818181818181818,-0.8983821587305246,-0.8983821587305246,1.1926263041551857,100.0,11.535178832767883,85.0,,,0
ppo_direct_gamma1,beijing_plain,2021,yield_vs_water,11.833698099750963,40.0,0.02727272727272727,-0.27772424360266235,-0.27772424360266235,0.7961003518919771,40.0,11.037597747858985,0.0,,,0
ppo_direct_gamma1,beijing_plain,2021,water_vs_cost,11.833698099750963,40.0,0.06363636363636363,-0.89443373760942,-0.89443373760942,0.7961003518919771,40.0,11.037597747858985,0.0,,,0
ppo_direct_gamma1,beijing_plain,2022,balanced,14.404102962647329,80.0,0.08035714285714286,-0.8975376133263833,-0.8975376133263833,2.8548330534215913,80.0,11.549269909225737,0.0,,,0
ppo_direct_gamma1,beijing_plain,2022,yield_max,14.42569840456763,80.0,0.09821428571428571,0.0656735927283858,0.0656735927283858,2.883621084181273,80.0,11.542077320386356,0.0,,,0
ppo_direct_gamma1,beijing_plain,2022,water_min,14.369969737433259,80.0,0.08035714285714286,-1.635739656052464,-1.635739656052464,2.882756122517194,60.0,11.487213614916065,20.0,,,0
ppo_direct_gamma1,beijing_plain,2022,cost_min,14.390525772823661,80.0,0.08035714285714286,-1.8684757348702954,-1.8684757348702954,2.9236212288129892,60.0,11.466904544010672,20.0,,,0
ppo_direct_gamma1,beijing_plain,2022,risk_min,14.593758637734197,450.0,0.9642857142857143,-2.2353243383011416,-2.2353243383011416,3.319678554491367,450.0,11.274080083242831,0.0,,,0
ppo_direct_gamma1,beijing_plain,2022,yield_vs_water,14.432367678230367,80.0,0.0625,-0.5758309452454784,-0.5758309452454784,2.8830977690046296,80.0,11.549269909225737,0.0,,,0
ppo_direct_gamma1,beijing_plain,2022,water_vs_cost,14.390525772823661,80.0,0.07142857142857142,-1.8129201793147351,-1.8129201793147351,2.9236212288129892,60.0,11.466904544010672,20.0,,,0
ppo_direct_gamma1,hebei_central,2018,balanced,10.54246765164859,140.0,0.0625,-1.7278019312871145,-1.7278019312871145,4.206065441144073,20.0,6.336402210504516,120.0,,,0
ppo_direct_gamma1,hebei_central,2018,yield_max,10.486205644184295,130.0,0.0625,-0.5199380974080887,-0.5199380974080887,4.121285854930992,10.0,6.364919789253304,120.0,,,0
ppo_direct_gamma1,hebei_central,2018,water_min,10.482769434637422,120.0,0.0625,-2.408772860073228,-2.408772860073228,4.112445803605742,0.0,6.370323631031681,120.0,,,0
ppo_direct_gamma1,hebei_central,2018,cost_min,10.554591773764455,140.0,0.0625,-3.047124457895613,-3.047124457895613,4.223763533438793,20.0,6.330828240325663,120.0,,,0
ppo_direct_gamma1,hebei_central,2018,risk_min,10.172438286836709,450.0,0.8571428571428571,-3.025920905509722,-3.025920905509722,4.272081238519123,350.0,5.900357048317587,100.0,,,0
ppo_direct_gamma1,hebei_central,2018,yield_vs_water,10.549538528473455,140.0,0.0625,-1.4691445918522072,-1.4691445918522072,4.215269259541292,20.0,6.334269268932164,120.0,,,0
ppo_direct_gamma1,hebei_central,2018,water_vs_cost,10.554591773764455,140.0,0.0625,-3.2999022356733896,-3.2999022356733896,4.223763533438793,20.0,6.330828240325663,120.0,,,0
ppo_direct_gamma1,hebei_central,2019,balanced,11.012403414686505,385.0,0.15315315315315314,-5.139236558063438,-5.139236558063438,2.8338355622519376,385.0,8.178567852434567,0.0,,,0
ppo_direct_gamma1,hebei_central,2019,yield_max,10.85293479174225,400.0,0.17117117117117117,-2.032759145384235,-2.032759145384235,2.8372732079368452,390.0,8.015661583805404,10.0,,,0
ppo_direct_gamma1,hebei_central,2019,water_min,13.388866065959729,380.0,0.1891891891891892,-8.123398719371748,-8.123398719371748,2.79467701356079,380.0,10.594189052398939,0.0,,,0
ppo_direct_gamma1,hebei_central,2019,cost_min,14.235739916957899,410.0,0.22522522522522523,-8.812835503459642,-8.812835503459642,2.995973930901576,410.0,11.239765986056323,0.0,,,0
ppo_direct_gamma1,hebei_central,2019,risk_min,4.543644492475427,450.0,0.5495495495495496,-5.965709485549644,-5.965709485549644,4.035634667425727,450.0,0.5080098250497004,0.0,,,0
ppo_direct_gamma1,hebei_central,2019,yield_vs_water,10.952337573019264,380.0,0.15315315315315314,-4.2387857269310825,-4.2387857269310825,2.7606562197231908,380.0,8.191681353296074,0.0,,,0
