MinTemp,MaxTemp,Precipitation,ReferenceET,Date
-5.164650537634408,6.560456989247312,0.0,1.1822065778048436,1981-01-01
-4.664650537634408,4.560456989247312,0.0,1.2789809680930893,1981-01-02
-6.064650537634408,5.760456989247312,0.0,1.2442175711363674,1981-01-03
-5.564650537634408,5.1604569892473116,0.0,1.4106670198232716,1981-01-04
-2.3646505376344082,2.960456989247312,0.0,1.4834800049638492,1981-01-05
-3.8646505376344082,5.860456989247312,0.0,0.9218185981219188,1981-01-06
-2.4646505376344083,8.560456989247312,0.0,1.1799911705891284,1981-01-07
-2.664650537634408,11.060456989247312,0.0,1.2753429322784717,1981-01-08
-1.2646505376344086,9.760456989247311,0.0,1.444351480073296,1981-01-09
-3.8646505376344082,10.660456989247312,0.0,1.403668291010408,1981-01-10
-3.7646505376344086,13.260456989247311,0.0,2.159106664569548,1981-01-11
-2.1646505376344085,14.760456989247311,0.0,2.649165237318607,1981-01-12
-3.164650537634408,13.660456989247312,0.0,1.9505399983494787,1981-01-13
-1.0646505376344084,11.560456989247312,0.0,2.0439829984049362,1981-01-14
-3.9646505376344088,2.3604569892473117,0.0,1.0522899543481992,1981-01-15
-5.064650537634408,5.760456989247312,0.0,1.140938958758289,1981-01-16
-3.8646505376344082,8.460456989247312,0.0,1.5322533941840637,1981-01-17
-1.3646505376344082,7.360456989247312,0.0,2.0862339139505086,1981-01-18
-3.3646505376344082,6.160456989247312,0.0,1.2811222719702537,1981-01-19
-2.0646505376344084,3.760456989247312,1.0652527676004682,0.996478526886839,1981-01-20
-2.3646505376344082,4.1604569892473116,0.0,1.1908922406398508,1981-01-21
-1.6646505376344085,2.160456989247312,0.1638850411693028,1.2674913955310843,1981-01-22
-2.3646505376344082,3.1604569892473116,3.441585864555359,0.713732787398895,1981-01-23
-3.2646505376344086,3.6604569892473116,0.0,1.1367767682227012,1981-01-24
-4.564650537634408,-0.4395430107526883,0.1638850411693028,1.0383655015912945,1981-01-25
-5.764650537634409,0.9604569892473118,0.0,0.807885730019045,1981-01-26
-6.264650537634409,2.160456989247312,0.0,1.1641203248176528,1981-01-27
-6.664650537634408,4.360456989247312,0.0,1.2601935498905672,1981-01-28
-5.264650537634409,5.360456989247312,0.0,1.1447157021259993,1981-01-29
-3.3646505376344082,6.260456989247312,0.0,1.140634850867078,1981-01-30
-2.8646505376344082,8.560456989247312,0.0,1.2224988781520498,1981-01-31
-5.926666666666667,10.243185840707964,0.0,1.660787313220024,1981-02-01
-3.4266666666666667,9.743185840707964,0.0,2.1322595387667205,1981-02-02
-4.126666666666666,6.643185840707965,0.0,1.700929209175511,1981-02-03
-2.626666666666666,7.543185840707965,0.0,1.535113929914447,1981-02-04
-1.3266666666666664,8.243185840707964,0.0,1.205980500744951,1981-02-05
-2.126666666666667,11.043185840707965,0.0,1.3906833120562607,1981-02-06
-2.126666666666667,14.443185840707963,0.0,2.1777036098152145,1981-02-07
-0.7266666666666668,15.043185840707965,0.0,2.9454211191297923,1981-02-08
-3.7266666666666666,12.343185840707964,0.0,2.106727368714095,1981-02-09
-3.2266666666666666,15.443185840707963,0.0,2.6001211172208336,1981-02-10
-2.326666666666666,16.843185840707964,0.0,2.6719765720349606,1981-02-11
1.7733333333333334,19.843185840707967,0.0,2.1147514689536666,1981-02-12
1.5733333333333335,19.543185840707967,0.0,3.0541277224875736,1981-02-13
