policy,site_id,year,preference,total_yield_t_ha,total_irrigation_mm,action_modified_rate,undiscounted_return,discounted_return,wheat_yield,wheat_irr,maize_yield,maize_irr,spring_maize_yield,spring_maize_irr,timesteps
ppo_rotation_residual_seed2,ningxia_irrigation,2015,balanced,0.0,25.0,0.0227272727272727,-0.4024239306733098,-0.3968025976446278,,,,,0.0,25.0,200000
ppo_rotation_residual_seed2,shaanxi_guanzhong,2015,balanced,15.137652816789448,65.0,0.3909090909090909,-0.4696390480889909,-0.5566608725071427,4.900043361912264,40.0,10.237609454877184,25.0,,,200000
ppo_rotation_direct,hebei_central,2015,balanced,8.339180301902417,240.0,0.1181818181818181,-3.320752456385229,-2.529923049575555,0.685804551470893,120.0,7.653375750431523,120.0,,,300000
ppo_rotation_direct,ningxia_irrigation,2015,balanced,0.0,0.0,0.0,-0.0405959612216681,-0.0453385957994768,,,,,0.0,0.0,300000
ppo_rotation_direct,shaanxi_guanzhong,2015,balanced,14.490084214561334,0.0,0.0454545454545454,0.3959001321266491,0.1857487397581131,4.900043361912264,0.0,9.59004085264907,0.0,,,300000
ppo_rotation_direct_seed1,hebei_central,2015,balanced,11.079054593684656,145.0,0.0727272727272727,-1.8680832603667932,-1.5636006175317272,0.6789166964417322,125.0,10.400137897242924,20.0,,,300000
ppo_rotation_direct_seed1,ningxia_irrigation,2015,balanced,0.0,0.0,0.0,-0.0405959612216681,-0.0453385957994768,,,,,0.0,0.0,300000
ppo_rotation_direct_seed1,shaanxi_guanzhong,2015,balanced,14.490084214561334,10.0,0.0272727272727272,0.2542334654599824,0.0601394924370944,4.900043361912264,10.0,9.59004085264907,0.0,,,300000
ppo_rotation_direct_seed2,hebei_central,2015,balanced,10.203808845448718,280.0,0.1545454545454545,-3.684211039732202,-2.7820003457297897,0.7072539786007319,130.0,9.496554866847983,150.0,,,300000
ppo_rotation_direct_seed2,ningxia_irrigation,2015,balanced,0.0,0.0,0.0416666666666666,-0.0405959612216681,-0.0453385957994768,,,,,0.0,0.0,300000
ppo_rotation_direct_seed2,shaanxi_guanzhong,2015,balanced,14.490084214561334,30.0,0.1818181818181818,-0.0290998678733509,-0.1777524653056629,4.900043361912264,30.0,9.59004085264907,0.0,,,300000
ppo_rotation_residual,hebei_central,2015,balanced,10.814878965808797,270.0,0.1818181818181818,-3.500884984604433,-2.635864821118728,0.6758295955457355,100.0,10.13904937026306,170.0,,,300000
ppo_rotation_residual,ningxia_irrigation,2015,balanced,0.0,25.0,0.0454545454545454,-0.4024239306733098,-0.3968025976446278,,,,,0.0,25.0,300000
ppo_rotation_residual,shaanxi_guanzhong,2015,balanced,14.604029956535234,30.0,0.0454545454545454,-0.025275322171206,-0.1586876250869331,4.900043361912264,20.0,9.70398659462297,10.0,,,300000
ppo_rotation_residual_seed1,hebei_central,2015,balanced,10.232661594622414,275.0,0.1545454545454545,-3.682200649736695,-2.7716526158778554,0.6867238999954852,110.0,9.545937694626929,165.0,,,300000
ppo_rotation_residual_seed1,ningxia_irrigation,2015,balanced,0.0,25.0,0.0454545454545454,-0.4027929726530415,-0.398398743477961,,,,,0.0,25.0,300000
ppo_rotation_residual_seed1,shaanxi_guanzhong,2015,balanced,15.137652816789448,40.0,0.0636363636363636,-0.1488057147556569,-0.240043033850543,4.900043361912264,15.0,10.237609454877184,25.0,,,300000
ppo_rotation_residual_seed2,hebei_central,2015,balanced,11.072806247973064,280.0,0.1363636363636363,-3.614124648213817,-2.7268443227651096,0.7076951830516314,110.0,10.365111064921432,170.0,,,300000
ppo_rotation_residual_seed2,ningxia_irrigation,2015,balanced,0.0,25.0,0.0227272727272727,-0.4027929726530415,-0.398398743477961,,,,,0.0,25.0,300000
ppo_rotation_residual_seed2,shaanxi_guanzhong,2015,balanced,15.12529608558754,60.0,0.2272727272727272,-0.4103301568062041,-0.4638105848545241,4.900043361912264,35.0,10.225252723675275,25.0,,,300000
ppo_rotation_direct,hebei_central,2015,balanced,11.28846189791326,160.0,0.0727272727272727,-2.06273455048422,-1.699143621449449,0.6883401371589681,140.0,10.600121760754291,20.0,,,400000
ppo_rotation_direct,ningxia_irrigation,2015,balanced,0.0,0.0,0.0,-0.0405959612216681,-0.0453385957994768,,,,,0.0,0.0,400000
ppo_rotation_direct,shaanxi_guanzhong,2015,balanced,14.47843932591649,10.0,0.0636363636363636,0.2538488758930118,0.0822091017485979,4.900043361912264,10.0,9.578395964004226,0.0,,,400000
ppo_rotation_direct_seed1,hebei_central,2015,balanced,11.079054593684656,145.0,0.0818181818181818,-1.8680832603667932,-1.5636006175317272,0.6789166964417322,125.0,10.400137897242924,20.0,,,400000
ppo_rotation_direct_seed1,ningxia_irrigation,2015,balanced,0.0,0.0,0.0416666666666666,-0.0405959612216681,-0.0453385957994768,,,,,0.0,0.0,400000
ppo_rotation_direct_seed1,shaanxi_guanzhong,2015,balanced,14.490084214561334,10.0,0.0272727272727272,0.2542334654599824,0.0674722077212935,4.900043361912264,10.0,9.59004085264907,0.0,,,400000
ppo_rotation_direct_seed2,hebei_central,2015,balanced,11.090798501600087,150.0,0.0818181818181818,-1.8274215137777092,-1.535145782142474,0.6853079814252456,130.0,10.405490520174842,20.0,,,400000
ppo_rotation_direct_seed2,ningxia_irrigation,2015,balanced,0.0,0.0,0.0416666666666666,-0.0405959612216681,-0.0453385957994768,,,,,0.0,0.0,400000
ppo_rotation_direct_seed2,shaanxi_guanzhong,2015,balanced,14.47843932591649,30.0,0.1272727272727272,-0.0294844574403214,-0.1714851205555422,4.900043361912264,30.0,9.578395964004226,0.0,,,400000
ppo_rotation_residual,hebei_central,2015,balanced,11.090798501600087,150.0,0.0727272727272727,-1.8274215137777092,-1.535145782142474,0.6853079814252456,130.0,10.405490520174842,20.0,,,400000
ppo_rotation_residual,ningxia_irrigation,2015,balanced,0.0,25.0,0.0454545454545454,-0.4024239306733098,-0.3968025976446278,,,,,0.0,25.0,400000
ppo_rotation_residual,shaanxi_guanzhong,2015,balanced,14.604029956535234,30.0,0.0727272727272727,-0.025275322171206,-0.1390178708247848,4.900043361912264,20.0,9.70398659462297,10.0,,,400000
ppo_rotation_residual_seed1,hebei_central,2015,balanced,11.175611032429464,160.0,0.0727272727272727,-1.9432648503196897,-1.6206312631508997,0.7595116760349198,135.0,10.416099356394543,25.0,,,400000
ppo_rotation_residual_seed1,ningxia_irrigation,2015,balanced,0.0,25.0,0.0227272727272727,-0.4027929726530415,-0.398398743477961,,,,,0.0,25.0,400000
ppo_rotation_residual_seed1,shaanxi_guanzhong,2015,balanced,14.553207808965936,30.0,0.1,-0.0492191199107555,-0.1607338238056154,4.900043361912264,20.0,9.65316444705367,10.0,,,400000
