policy,site_id,year,preference,total_yield_t_ha,total_irrigation_mm,action_modified_rate,undiscounted_return,discounted_return,wheat_yield,wheat_irr,maize_yield,maize_irr,spring_maize_yield,spring_maize_irr,seed
ppo_direct_wq,beijing_plain,2018,balanced,13.458522701657008,190.0,0.0982142857142857,0.0841129151423767,-0.0297722237981455,2.889985611981872,90.0,10.568537089675134,100.0,,,0.0
ppo_direct_wq,beijing_plain,2018,yield_max,14.094372252614026,450.0,0.4642857142857143,0.3629351766798332,0.0903113663635438,2.932448563573644,250.0,11.161923689040382,200.0,,,0.0
ppo_direct_wq,beijing_plain,2018,water_min,12.988425488754205,195.0,0.0625,-0.2821202010289761,-0.2051317380750561,2.831728955864236,40.0,10.156696532889969,155.0,,,0.0
ppo_direct_wq,beijing_plain,2018,cost_min,13.701993198036757,215.0,0.125,-0.4065517608808604,-0.2931319380719687,2.808763683903799,45.0,10.893229514132956,170.0,,,0.0
ppo_direct_wq,beijing_plain,2018,risk_min,7.141825955373802,450.0,0.9464285714285714,-0.2008534425710144,-0.1769114809195275,2.962514901247754,445.0,4.179311054126049,5.0,,,0.0
ppo_direct_wq,beijing_plain,2018,yield_vs_water,13.172351083170842,350.0,0.2142857142857142,0.019479277727544,-0.0786855783176538,2.874864106203268,70.0,10.297486976967576,280.0,,,0.0
ppo_direct_wq,beijing_plain,2018,water_vs_cost,13.019183313239092,145.0,0.0446428571428571,-0.2486046540565525,-0.1870480963133327,2.8133997130577093,40.0,10.205783600181382,105.0,,,0.0
ppo_direct_wq,beijing_plain,2019,balanced,8.657514013968797,450.0,0.2181818181818181,-0.8883290655056997,-0.71060340135735,1.738095160996363,365.0,6.919418852972434,85.0,,,0.0
ppo_direct_wq,beijing_plain,2019,yield_max,5.464339227638543,450.0,0.7363636363636363,-1.6731168434021937,-1.159573362210511,2.7829728459500624,450.0,2.68136638168848,0.0,,,0.0
ppo_direct_wq,beijing_plain,2019,water_min,7.903858645725164,450.0,0.109090909090909,-1.506356125019233,-1.113308077900349,1.6731794177864303,400.0,6.230679227938733,50.0,,,0.0
