irrigation_mm,water_loss_mm,yield_cv,total_yield_t_ha,SMT_w1,SMT_w2,SMT_w3,SMT_w4,SMT_m1,SMT_m2,SMT_m3,SMT_m4,alpha,algorithm,site_id,seed
385.1067793726387,54.16190661194283,0.029440073099808724,13.816560747960114,95.9096705634826,87.31396410574216,91.19306235293915,43.898332195684695,55.488446298981586,49.385435186784136,42.837260253273314,30.593078931560363,0.41315756413412286,NSGA-II,hebei_central,11
209.22569596028728,44.76312570822871,0.12892151422401726,12.191519667649693,50.881423824582434,14.90469783758541,64.05103743011422,48.4355508232108,47.43106329922758,18.338718494677458,20.58427769916746,9.523286307283758,0.10939043546730504,NSGA-II,hebei_central,11
390.96470311997615,80.58591376646405,0.05976363825742384,14.639757208331574,98.72834744437569,39.515510720546715,94.94619979052815,44.129003474328705,61.93330184902012,44.7380222647434,42.837260253273314,39.1974868082679,0.41315756413412286,NSGA-II,hebei_central,11
253.51214240838493,90.28136593939419,0.12979682008619886,13.670134669233445,95.9096705634826,84.8584602992165,62.05243028287079,41.7603584577499,55.488446298981586,22.61733101409651,0.7693829571463366,34.26998050842582,0.1271866141386982,NSGA-II,hebei_central,11
371.4002155430397,45.54171594531313,0.31745407537804654,12.422251612529028,98.0671923873535,50.550950676439896,59.274226292799646,2.7257067237490844,57.193436873495656,22.83731808510852,0.6265275783675155,33.54131880022259,0.8498740231689388,NSGA-II,hebei_central,11
166.0589911022323,54.3873458733201,0.22058248524561214,9.467048009961053,9.938413101984253,31.287090591302942,76.2200275431059,41.7603584577499,4.853206393860052,22.61733101409651,2.9375470234622005,8.319818116915414,0.10235331356051629,NSGA-II,hebei_central,11
442.16190296211727,56.81440503127887,0.05365678629994327,14.375843713481203,95.85989631027584,8.969227942626617,3.8218611949063863,43.89840825274386,62.24524732114699,77.4776830987754,45.6302971561093,77.9828117561934,0.41315756413412286,NSGA-II,hebei_central,11
343.7625135736956,75.4223488961586,0.03647995868384184,12.919359321891667,10.39152542446918,8.969227942626617,54.887492566551366,37.89315277352337,54.66293262436056,23.382773487168112,45.03266654971803,30.646075134028212,0.41315756413412286,NSGA-II,hebei_central,11
172.23397636241418,48.53516399693799,0.21182963072922012,9.611465076947708,9.938413101984253,84.21876649944733,62.05243028287079,41.7603584577499,4.853206393860052,22.61733101409651,3.052504584420652,9.07282257833446,0.1271866141386982,NSGA-II,hebei_central,11
174.28585811549965,47.60503493162241,0.16341301318907245,10.354457030539958,50.881423824582434,97.65243057510502,61.342125464190154,48.4355508232108,20.61042714554074,18.338718494677458,22.01620252224906,9.590359567641645,0.10952412914555479,NSGA-II,hebei_central,11
388.8616663264751,63.86891235828532,0.06188999395212317,14.407321236396083,97.07626625376658,8.969227942626617,7.560973056929845,37.89315277352337,54.66293262436056,77.94149502178638,45.6302971561093,30.646075134028212,0.41315756413412286,NSGA-II,hebei_central,11
209.06108388416277,46.09618839621803,0.18677822328137403,11.87253295863807,93.35554825305326,83.94252371616972,40.54511071983612,46.56389112194526,27.0772034061498,18.324639382634643,4.007120912241987,33.47550958719925,0.10902463085369507,NSGA-II,hebei_central,11
205.18126003948956,52.67211537024205,0.12333871670794408,11.274580437402198,95.26228535698283,84.29029890215003,32.25593626945455,46.56389112194526,27.57943844370908,17.66061215283335,4.007120912241987,32.892042087849646,0.10040280008775448,NSGA-II,hebei_central,11
242.38012930217366,83.14673745343774,0.12319347194588942,13.560041791091896,95.9096705634826,32.015234958725244,62.08201772518699,41.7603584577499,55.73210682220962,22.485139847633242,0.7693829571463366,34.23889918072686,0.1028660590085373,NSGA-II,hebei_central,11
253.67247217660702,89.15713797980848,0.13050280910737122,13.671996088344162,90.83880828175498,84.8584602992165,7.722871022188816,41.82108357771442,55.488446298981586,22.446807813631324,0.7693829571463366,34.1558781123108,0.12746290282518685,NSGA-II,hebei_central,11
177.17259015170646,44.90518201501335,0.12032529877177386,10.683537550915435,52.5002111052318,68.95106777917134,32.25593626945455,46.47009905920786,28.414821749068675,17.66061215283335,4.007120912241987,6.812765046278036,0.10482797811490323,NSGA-II,hebei_central,11
258.37214268337164,59.157093478480405,0.11640631195402759,13.691354369932267,95.9096705634826,83.57940574944412,91.19306235293915,43.9939540697084,55.488446298981586,49.385435186784136,3.011319159688675,30.593078931560363,0.1271866141386982,NSGA-II,hebei_central,11
403.65437485024245,55.52810532778024,0.05592746294146097,14.460138390529494,98.60671094328197,16.863433245486647,91.96657218997615,37.89315277352337,55.33172075869522,77.94149502178638,46.86106040059382,34.24143100406521,0.4145471933868569,NSGA-II,hebei_central,11
441.7298827902963,55.626160154363745,0.054595146759002226,14.321794058935183,98.66492009823516,97.75496807615843,16.0385237856542,49.32754710865096,54.106889309570946,17.22345336233922,42.837260253273314,93.19603841894056,0.451997117393146,NSGA-II,hebei_central,11
303.20826445521277,50.16971137131035,0.13955808506324474,12.911280601771281,95.90763289195299,62.813951776317715,91.19306235293915,43.9454398970784,55.488446298981586,17.72001629870038,42.71283767422443,62.74531604994608,0.12721566375993018,NSGA-II,hebei_central,11
271.0049125218085,54.79961299919226,0.04906139935727875,12.070665421551466,70.78425748125038,86.47932736609165,9.656446799095875,30.08273440632789,23.30498088165697,52.41467607117156,43.14790025409173,5.60778129423916,0.2142250024300583,NSGA-II,hebei_central,11
323.3867803518041,53.57207340004512,0.152435885841874,13.398609311648954,95.90763289195299,63.169455048615966,91.19306235293915,43.898332195684695,55.488446298981586,48.988961210584435,42.71283767422443,62.74531604994608,0.13205433964966404,NSGA-II,hebei_central,11
284.671025626236,51.94472960673229,0.09585219709902516,12.928445387964945,98.72834744437569,55.906983120343966,92.07492075617833,30.509014815185306,61.93330184902012,44.7380222647434,42.843305881451435,6.73701349548627,0.1959526862904943,NSGA-II,hebei_central,11
227.1355139835294,48.07105459219988,0.17669709200474581,12.627767521738203,95.03761962837284,84.8584602992165,64.03870449444962,41.72542268057315,47.35210432047213,22.61733101409651,0.017685712754911265,34.26998050842582,0.10474558663006531,NSGA-II,hebei_central,11
322.26498141816916,46.79216124033406,0.0815001021947033,12.962992887648497,52.148791407643294,50.86530645463303,33.02437668869668,41.7151488700776,29.347773423389757,24.00419290267035,40.50089626510253,5.402003107060489,0.36058884759593146,NSGA-II,hebei_central,11
378.8105925960025,50.70233221666144,0.044700323823730403,13.923742263574852,99.88592634947302,71.21300383919326,95.08906277440111,44.129003474328705,54.643951853714604,45.15105289845528,27.321716043900427,38.66357356960118,0.40775073449392396,NSGA-II,hebei_central,11
185.36152305994173,46.53166489130366,0.09498237214215098,11.08711321516847,48.246918301786465,98.5969391401799,32.16395810690436,42.636308955433016,27.58558782564024,17.63784857898174,22.01620252224906,7.779186828686644,0.10080338457764829,NSGA-II,hebei_central,11
337.6362991280643,53.84269211120265,0.14253904827527752,13.885252306840403,98.97870417335521,55.0360198865819,14.436898708083568,10.649226565210524,61.09636916930859,11.985534325048434,43.01859559461324,93.19603841894056,0.10535325600819553,NSGA-II,hebei_central,11
189.22569596028728,47.78889845754818,0.08623134142197936,11.09837012218229,48.246918301786465,98.27096909231959,32.16411040874284,40.884077708765446,27.517065122683213,18.30187580878303,22.01620252224906,8.36234008746836,0.10939043546730504,NSGA-II,hebei_central,11
356.2333140993255,46.61280542391717,0.08737348913653292,13.067142055410054,52.449039719634804,54.35836176513028,59.121485359296365,48.41995511880549,27.218231632265436,13.40447228357915,45.692621488112124,37.88266909422858,0.42009253916479317,NSGA-II,hebei_central,11
400.0508441000522,60.57914057918659,0.06382635077008189,14.36191032090557,98.60671094328197,16.863433245486647,92.03333005220465,37.89315277352337,55.482578343737956,81.16016430498952,46.55777928431634,34.24143100406521,0.3916326749638777,NSGA-II,hebei_central,11
