site_id,strategy,mean_irrigation_mm_future,mean_irrigation_mm_historical,mean_yield_t_ha_future,mean_yield_t_ha_historical,delta_yield_t_ha,delta_irrigation_mm
beijing_plain,full_irrigation,450.0,450.0,14.043649011477982,13.459774354576469,0.5838746569015125,0.0
beijing_plain,scan_best,386.19622232091507,426.4424486539197,14.34464104644353,13.847331942363477,0.4973091040800526,-40.24622633300464
beijing_plain,uniform_threshold,367.79528387964353,396.2238226538201,14.240486862722134,13.847558628325686,0.3929282343964484,-28.42853877417656
hebei_central,full_irrigation,450.0,450.0,14.771390316021696,13.724922515301811,1.0464678007198849,0.0
hebei_central,scan_best,395.9994955481713,426.2348137311406,15.026137847101994,14.219146147397534,0.8069916997044597,-30.23531818296931
hebei_central,uniform_threshold,378.40950019594413,400.0,15.091757133069837,14.292555955468488,0.7992011776013488,-21.590499804055867
henan_north,full_irrigation,450.0,450.0,15.665794182513627,14.863996721967103,0.8017974605465241,0.0
henan_north,scan_best,384.2857142857143,408.57142857142856,15.942593251234545,15.680664520392792,0.2619287308417526,-24.285714285714278
henan_north,uniform_threshold,399.938855005055,432.0377142857143,16.072516213494332,15.534334589306189,0.5381816241881427,-32.09885928065927
ningxia_irrigation,full_irrigation,450.0,450.0,11.891812007503859,10.678522159041009,1.2132898484628498,0.0
ningxia_irrigation,threshold,450.0,450.0,13.139844029822262,12.710638394396128,0.42920563542613444,0.0
shaanxi_guanzhong,full_irrigation,445.6368904891095,450.0,16.218131794773313,15.99471714228203,0.22341465249128412,-4.363109510890524
shaanxi_guanzhong,scan_best,296.18343412519374,311.27821184091107,16.317706604116445,16.081343622480237,0.2363629816362085,-15.094777715717328
shaanxi_guanzhong,uniform_threshold,135.52936377836505,164.17785714285714,16.14829374218627,15.939608624379668,0.20868511780660093,-28.648493364492083
