site_id,crop,stage,delta_mm,year,pulse_date,yield_minus,yield_baseline,yield_plus,irrigation_minus,irrigation_baseline,irrigation_plus,delta_irrigation_mm,marginal_response,status
beijing_plain,wheat,4,10.0,2012,2012-06-04,7.921297748602875,7.921297748602875,7.921297748602875,450.0,450.0,450.0,0.0,,undefined_no_actual_delta
beijing_plain,wheat,4,15.0,2012,2012-06-04,7.921297748602875,7.921297748602875,7.921297748602875,450.0,450.0,450.0,0.0,,undefined_no_actual_delta
beijing_plain,maize,1,5.0,2012,2012-06-29,7.921297748602875,7.921297748602875,7.921297748602875,450.0,450.0,450.0,0.0,,undefined_no_actual_delta
beijing_plain,maize,1,10.0,2012,2012-06-29,7.921297748602875,7.921297748602875,7.921297748602875,450.0,450.0,450.0,0.0,,undefined_no_actual_delta
beijing_plain,maize,1,15.0,2012,2012-06-29,7.921297748602875,7.921297748602875,7.921297748602875,450.0,450.0,450.0,0.0,,undefined_no_actual_delta
beijing_plain,maize,2,5.0,2012,2012-07-27,7.921297748602875,7.921297748602875,7.921297748602875,450.0,450.0,450.0,0.0,,undefined_no_actual_delta
beijing_plain,maize,2,10.0,2012,2012-07-27,7.921297748602875,7.921297748602875,7.921297748602875,450.0,450.0,450.0,0.0,,undefined_no_actual_delta
beijing_plain,maize,2,15.0,2012,2012-07-27,7.921297748602875,7.921297748602875,7.921297748602875,450.0,450.0,450.0,0.0,,undefined_no_actual_delta
beijing_plain,maize,3,5.0,2012,2012-08-19,7.921297748602875,7.921297748602875,7.921297748602875,450.0,450.0,450.0,0.0,,undefined_no_actual_delta
beijing_plain,maize,3,10.0,2012,2012-08-19,7.921297748602875,7.921297748602875,7.921297748602875,450.0,450.0,450.0,0.0,,undefined_no_actual_delta
beijing_plain,maize,3,15.0,2012,2012-08-19,7.921297748602875,7.921297748602875,7.921297748602875,450.0,450.0,450.0,0.0,,undefined_no_actual_delta
