policy,site_id,year,preference,total_yield_t_ha,total_irrigation_mm,action_modified_rate,undiscounted_return,discounted_return,wheat_yield,wheat_irr,maize_yield,maize_irr,spring_maize_yield,spring_maize_irr,seed
threshold_rule,beijing_plain,2018,balanced,14.30935931792004,400.0,0.017857142857142856,-4.88238614314973,-3.302788757537769,2.9569990417550898,140.0,11.35236027616495,260.0,,,
threshold_rule,beijing_plain,2019,balanced,5.52263700534334,450.0,0.2818181818181818,-7.053916048241423,-5.6202448703204695,2.861569065767968,450.0,2.661067939575371,0.0,,,
threshold_rule,beijing_plain,2020,balanced,7.812589862746316,450.0,0.3090909090909091,-6.346970315088523,-4.971891294438499,3.3553801143953756,420.0,4.457209748350941,30.0,,,
threshold_rule,beijing_plain,2021,balanced,13.66155215882757,450.0,0.10909090909090909,-5.748595448921017,-4.6876823444557285,3.4890625772905683,440.0,10.172489581537002,10.0,,,
threshold_rule,beijing_plain,2022,balanced,14.857393127695167,220.0,0.0,-2.505281679296897,-1.873464069255963,3.3166738599676897,220.0,11.540719267727477,0.0,,,
threshold_rule,hebei_central,2018,balanced,15.632386959385766,450.0,0.08928571428571429,-5.470951593701037,-3.71762817393361,4.267587591794669,120.0,11.364799367591097,330.0,,,
threshold_rule,hebei_central,2019,balanced,4.844081343473745,450.0,0.3153153153153153,-6.895828170924807,-5.61849350952371,4.358338482417192,450.0,0.4857428610565525,0.0,,,
threshold_rule,hebei_central,2020,balanced,16.422176212630745,380.0,0.009009009009009009,-4.502844961146921,-3.5522763722394264,4.877406487083702,300.0,11.544769725547042,80.0,,,
threshold_rule,hebei_central,2021,balanced,16.055910765379544,420.0,0.009174311926605505,-5.035978440133494,-3.948955885239486,4.780288199735418,340.0,11.275622565644126,80.0,,,
threshold_rule,hebei_central,2022,balanced,16.43331414906173,220.0,0.0,-2.412739620399103,-1.8372195912113927,4.914483238548729,220.0,11.518830910513001,0.0,,,
threshold_rule,henan_north,2018,balanced,18.09529749386151,220.0,0.01818181818181818,-2.3153724577174852,-1.8015138270948954,6.594207255454749,180.0,11.50109023840676,40.0,,,
threshold_rule,henan_north,2019,balanced,7.204691437621834,450.0,0.3153153153153153,-5.8894596755918105,-4.999487784210442,7.106400879375145,450.0,0.09829055824668934,0.0,,,
threshold_rule,henan_north,2020,balanced,18.676622888330606,340.0,0.01834862385321101,-3.844358753372462,-2.767743897139507,7.285628789859043,200.0,11.390994098471563,140.0,,,
threshold_rule,henan_north,2021,balanced,18.630754777062005,450.0,0.05504587155963303,-5.288165756939131,-4.385971270556953,7.509715352816607,400.0,11.1210394242454,50.0,,,
threshold_rule,henan_north,2022,balanced,18.785620225819983,340.0,0.0,-3.8459686905854156,-2.8232692270787565,7.22296629507398,260.0,11.562653930746002,80.0,,,
threshold_rule,shaanxi_guanzhong,2018,balanced,15.938375238812597,280.0,0.018518518518518517,-3.213161806123249,-2.2151484138856823,4.651803422569631,80.0,11.286571816242965,200.0,,,
threshold_rule,shaanxi_guanzhong,2019,balanced,15.856213048897539,450.0,0.045871559633027525,-5.446723841308353,-4.450104353972488,4.734599267893373,340.0,11.121613781004166,110.0,,,
threshold_rule,shaanxi_guanzhong,2020,balanced,16.31845393006625,140.0,0.018691588785046728,-1.3624947228122846,-1.0765290649660304,4.99478606696464,120.0,11.323667863101612,20.0,,,
threshold_rule,shaanxi_guanzhong,2021,balanced,16.826809753102594,20.0,0.018518518518518517,0.22651071782661053,0.062314219159359086,5.292494400444067,20.0,11.53431535265853,0.0,,,
threshold_rule,shaanxi_guanzhong,2022,balanced,16.13596803844044,260.0,0.027522935779816515,-2.940959125466963,-2.051121207493961,4.929920927807669,40.0,11.206047110632769,220.0,,,
threshold_rule,ningxia_irrigation,2018,balanced,14.553502662349741,440.0,0.045454545454545456,-5.430968508931344,-5.145768083686516,,,,,14.553502662349741,440.0,
threshold_rule,ningxia_irrigation,2019,balanced,14.350457563918383,450.0,0.022727272727272728,-5.57823641969267,-5.069438905202652,,,,,14.350457563918383,450.0,
threshold_rule,ningxia_irrigation,2020,balanced,11.48959701964236,450.0,0.2727272727272727,-6.0460961021065,-5.606864039076567,,,,,11.48959701964236,450.0,
threshold_rule,ningxia_irrigation,2021,balanced,12.724911912858378,450.0,0.38636363636363635,-6.19083206298235,-5.7555756734006644,,,,,12.724911912858378,450.0,
threshold_rule,ningxia_irrigation,2022,balanced,14.20102573271984,420.0,0.06818181818181818,-5.1795808993272665,-4.839011237006502,,,,,14.20102573271984,420.0,
quota_reserving_rule,beijing_plain,2018,balanced,14.30935931792004,400.0,0.017857142857142856,-4.88238614314973,-3.302788757537769,2.9569990417550898,140.0,11.35236027616495,260.0,,,
quota_reserving_rule,beijing_plain,2019,balanced,10.02490968435192,450.0,0.23636363636363636,-6.745995677601883,-5.4140018482587795,2.5292308948530557,400.0,7.495678789498864,50.0,,,
quota_reserving_rule,beijing_plain,2020,balanced,13.956535659870578,450.0,0.05454545454545454,-5.5479863684251205,-4.3718140100277205,3.1230423043952005,280.0,10.833493355475378,170.0,,,
quota_reserving_rule,beijing_plain,2021,balanced,14.727738297136916,380.0,0.00909090909090909,-4.593388177117097,-3.852790290161658,3.1847004347517283,300.0,11.543037862385187,80.0,,,
quota_reserving_rule,beijing_plain,2022,balanced,14.857393127695167,220.0,0.0,-2.505281679296897,-1.873464069255963,3.3166738599676897,220.0,11.540719267727477,0.0,,,
quota_reserving_rule,hebei_central,2018,balanced,15.632386959385766,450.0,0.08928571428571429,-5.470951593701037,-3.71762817393361,4.267587591794669,120.0,11.364799367591097,330.0,,,
quota_reserving_rule,hebei_central,2019,balanced,14.91044760341023,440.0,0.05405405405405406,-5.552227508506584,-4.740907187359628,3.7918792945546853,400.0,11.118568308855544,40.0,,,
quota_reserving_rule,hebei_central,2020,balanced,16.317065895584026,400.0,0.04504504504504504,-4.767612083285743,-3.682082306146102,4.877406487083702,280.0,11.439659408500324,120.0,,,
