site_id,soil,year,weight_yield_proxy,weight_water,weight_cost,weight_risk,dry_yield_t_ha,irrigation_mm,n_decision_steps,action_modified_rate,scalar_return,timesteps
hebei_central,loam,2015,0.4,0.3,0.2,0.1,11.569865254446798,0,44,0.0,17.186104553335372,800000
ningxia_irrigation,loam,2015,0.4,0.3,0.2,0.1,7.917657633408157,0,44,0.0,15.798152851179164,800000
shaanxi_guanzhong,loam,2015,0.4,0.3,0.2,0.1,14.62971694126228,0,44,0.0,18.0059685625168,800000
hebei_central,loam,2015,0.4,0.3,0.2,0.1,11.569865254446798,0,44,0.0,17.186104553335372,850000
ningxia_irrigation,loam,2015,0.4,0.3,0.2,0.1,7.917657633408157,0,44,0.0,15.798152851179164,850000
shaanxi_guanzhong,loam,2015,0.4,0.3,0.2,0.1,14.62971694126228,0,44,0.0,18.0059685625168,850000
hebei_central,loam,2015,0.4,0.3,0.2,0.1,11.569865254446798,0,44,0.0,17.186104553335372,900000
ningxia_irrigation,loam,2015,0.4,0.3,0.2,0.1,7.917657633408157,0,44,0.0,15.798152851179164,900000
shaanxi_guanzhong,loam,2015,0.4,0.3,0.2,0.1,14.62971694126228,0,44,0.0,18.0059685625168,900000
hebei_central,loam,2015,0.4,0.3,0.2,0.1,11.569865254446798,0,44,0.0,17.186104553335372,950000
ningxia_irrigation,loam,2015,0.4,0.3,0.2,0.1,7.917657633408157,0,44,0.0,15.798152851179164,950000
shaanxi_guanzhong,loam,2015,0.4,0.3,0.2,0.1,14.62971694126228,0,44,0.0,18.0059685625168,950000
hebei_central,loam,2015,0.4,0.3,0.2,0.1,11.569865254446798,0,44,0.0,17.186104553335372,1000000
ningxia_irrigation,loam,2015,0.4,0.3,0.2,0.1,7.917657633408157,0,44,0.0,15.798152851179164,1000000
shaanxi_guanzhong,loam,2015,0.4,0.3,0.2,0.1,14.62971694126228,0,44,0.0,18.0059685625168,1000000
