site_id,soil,smt_level,alpha,mean_total_yield,std_total_yield,mean_total_irr,wheat_yield,maize_yield,wheat_irr,maize_irr
beijing_plain,loam,conservative,0.1,12.883700537100014,0.89823330940249,199.16666666666663,1.6489079594308116,11.234792577669204,45.0,154.16666666666666
beijing_plain,loam,conservative,0.2,13.19899470778646,0.7559537591773051,240.0,1.99280412410508,11.206190583681378,90.0,150.0
beijing_plain,loam,conservative,0.3,13.559081894027956,0.6008062691730505,254.16666666666663,2.336398888153969,11.222683005873987,133.33333333333334,120.83333333333331
beijing_plain,loam,conservative,0.4,13.835166915947406,0.4622229802672878,291.6666666666667,2.6033447869163604,11.231822129031045,170.83333333333334,120.83333333333331
beijing_plain,loam,conservative,0.5,14.065535416186044,0.3397708169674847,337.5,2.8109406293552763,11.254594786830763,208.33333333333331,129.16666666666666
beijing_plain,loam,conservative,0.6,14.136718520669762,0.3028936923148422,356.6666666666667,2.934530223575049,11.202188297094716,242.5,114.16666666666669
beijing_plain,loam,conservative,0.7,14.032426123723733,0.3821285535678064,362.5,3.0248086669350744,11.007617456788658,265.8333333333333,96.66666666666669
beijing_plain,loam,conservative,0.8,12.924223674179096,2.0083536247635108,359.1666666666667,3.051631050651467,9.872592623527629,282.5,76.66666666666666
beijing_plain,loam,conservative,0.9,12.975388172787197,2.427134549502272,330.0,3.0558926537851367,9.91949551900206,291.6666666666667,38.33333333333333
beijing_plain,loam,moderate,0.1,13.069043518545312,0.893799127758443,233.82322648023052,1.6686164264889258,11.400427092056388,45.0,188.82322648023052
beijing_plain,loam,moderate,0.2,13.325486981793418,0.781815569665619,287.25528862236115,1.925406889186619,11.4000800926068,90.0,197.2552886223612
beijing_plain,loam,moderate,0.3,13.570018390228446,0.6443163526734625,338.09378031583964,2.16860712178248,11.401411268445967,135.0,203.09378031583967
beijing_plain,loam,moderate,0.4,13.81063338860472,0.5371094891733442,340.81427067479564,2.4182409770976263,11.392392411507094,179.16666666666666,161.64760400812898
beijing_plain,loam,moderate,0.5,14.061992127111036,0.3929799150829335,381.2152596283058,2.668771104336986,11.39322102277405,216.66666666666663,164.54859296163912
beijing_plain,loam,moderate,0.6,14.25253554070939,0.2794563830786241,389.2648333333333,2.866902773066901,11.385632767642493,254.16666666666663,135.09816666666666
beijing_plain,loam,moderate,0.7,13.902498385213963,0.5830593834644959,395.8333333333333,2.9992272214377933,10.903271163776171,289.1666666666667,106.66666666666669
beijing_plain,loam,moderate,0.8,13.49347940293817,0.9538752929601394,395.8333333333333,3.0695791750373385,10.423900227900832,319.1666666666667,76.66666666666666
beijing_plain,loam,moderate,0.9,10.79944129903651,4.6953086500562495,385.20666666666665,3.0848859740473475,7.714555324989163,343.54,41.66666666666666
beijing_plain,loam,aggressive,0.1,13.068207741407113,0.7980881901396103,347.3382956516502,1.620570234226536,11.447637507180575,45.0,302.3382956516502
beijing_plain,loam,aggressive,0.2,13.379828748200373,0.6888876886568983,392.289928122457,1.9327354821219336,11.44709326607844,90.0,302.289928122457
beijing_plain,loam,aggressive,0.3,13.64083151740837,0.5616747226327787,422.9521568949228,2.1934257916626216,11.447405725745748,135.0,287.9521568949228
beijing_plain,loam,aggressive,0.4,13.811427958490716,0.5203179077273871,439.8565325324967,2.364141623625468,11.447286334865248,180.0,259.8565325324966
beijing_plain,loam,aggressive,0.5,14.046460536821956,0.4208332116756304,447.7415112382048,2.595418832813013,11.451041704008942,225.0,222.7415112382047
beijing_plain,loam,aggressive,0.6,14.1922464801011,0.2961394771515813,450.0,2.8159959983924394,11.37625048170866,270.0,180.0
beijing_plain,loam,aggressive,0.7,13.895985127799554,0.642627818976718,443.3333333333333,2.9800085005241743,10.91597662727538,308.3333333333333,135.00000000000003
beijing_plain,loam,aggressive,0.8,13.391182906819296,1.0911331442741192,435.8333333333333,3.065997032665873,10.325185874153425,345.8333333333333,89.99999999999999
beijing_plain,loam,aggressive,0.9,10.832778743645632,4.65483441563289,426.5615,3.0886408636466545,7.744137879998978,381.5615,44.99999999999999
hebei_central,loam,conservative,0.1,12.970795221858566,1.978264242073183,224.16666666666663,1.935079008155297,11.03571621370327,45.0,179.16666666666666
hebei_central,loam,conservative,0.2,13.368631646699749,1.9352908970292613,270.8333333333333,2.332930558518008,11.03570108818174,87.5,183.33333333333331
hebei_central,loam,conservative,0.3,13.835520620622647,1.64079030907294,302.5,2.8433921611055237,10.992128459517126,125.0,177.5
hebei_central,loam,conservative,0.4,14.239005425153143,1.463543524242921,340.8333333333333,3.269022057668746,10.969983367484398,162.5,178.33333333333334
hebei_central,loam,conservative,0.5,14.525533109516326,1.251068931183051,345.8333333333333,3.5963838170651816,10.929149292451145,200.0,145.83333333333334
hebei_central,loam,conservative,0.6,14.601619164556167,1.127413836746881,365.8333333333333,3.856836854864369,10.744782309691798,230.0,135.83333333333334
hebei_central,loam,conservative,0.7,13.843892543118978,1.6754309237724223,370.8333333333333,4.083965871159884,9.759926671959096,260.0,110.83333333333336
hebei_central,loam,conservative,0.8,13.521434516595573,2.954303607207498,363.3333333333333,4.259671583876288,9.261762932719282,284.1666666666667,79.16666666666666
hebei_central,loam,conservative,0.9,11.580391121073989,5.186321171855784,348.3333333333333,4.373592060393935,7.206799060680052,306.6666666666667,41.66666666666666
hebei_central,loam,moderate,0.1,13.283547347960956,1.9120580898338324,300.17115663660724,1.9478652686869544,11.335682079274,45.0,255.1711566366072
hebei_central,loam,moderate,0.2,13.797901498892884,1.6296811863674086,339.27945560933045,2.4481485346266783,11.349752964266209,90.0,249.27945560933048
hebei_central,loam,moderate,0.3,14.223682065769047,1.5502473910854526,376.2384444016275,2.874928910405078,11.348753155363973,133.33333333333334,242.90511106829425
hebei_central,loam,moderate,0.4,14.664269665013068,1.348747900159023,400.2832933579612,3.328621051206329,11.33564861380674,170.83333333333334,229.44996002462796
hebei_central,loam,moderate,0.5,14.878780112162827,1.174823540683537,411.4524600246279,3.616053384846556,11.262726727316272,208.33333333333331,203.11912669129455
hebei_central,loam,moderate,0.6,14.721259607194382,0.9956099785571636,414.5841266912946,3.8742600373164815,10.846999569877896,245.83333333333331,168.75079335796127
hebei_central,loam,moderate,0.7,14.252496680636526,1.3803815872402103,413.378,4.092347679695207,10.160149000941315,280.47383333333335,132.9041666666667
hebei_central,loam,moderate,0.8,13.023560529210966,2.687384814910011,400.4738333333333,4.276282968760662,8.747277560450303,310.47383333333335,89.99999999999999
hebei_central,loam,moderate,0.9,10.188266677423238,4.572855504063291,380.3921666666667,4.390276611639545,5.797990065783694,335.3921666666667,44.99999999999999
hebei_central,loam,aggressive,0.1,13.34430021409968,1.9109788715011824,382.3905442316233,1.9557020521429929,11.388598161956686,45.0,337.3905442316233
hebei_central,loam,aggressive,0.2,13.885914197762466,1.5543487828074882,409.8864340427339,2.486423885720223,11.399490312042245,90.0,319.8864340427339
hebei_central,loam,aggressive,0.3,14.265488869941391,1.435794551337837,432.4042274010387,2.8660382936542645,11.39945057628713,135.0,297.40422740103867
hebei_central,loam,aggressive,0.4,14.684645146235589,1.250136137281565,449.1705952780992,3.289018670744289,11.3956264754913,180.0,269.1705952780992
hebei_central,loam,aggressive,0.5,14.808760738342237,1.124872683861691,445.8333333333333,3.5611704906960138,11.247590247646222,220.83333333333331,225.0
hebei_central,loam,aggressive,0.6,14.511935936115476,0.9921690731633734,438.3333333333333,3.787655494577761,10.724280441537717,258.3333333333333,180.0
hebei_central,loam,aggressive,0.7,14.204712325900894,1.1929335688005294,430.8333333333333,4.0407806478667725,10.16393167803412,295.8333333333333,135.00000000000003
hebei_central,loam,aggressive,0.8,13.462135206162005,2.180223711543355,423.3333333333333,4.233576484243774,9.228558721918231,333.3333333333333,89.99999999999999
hebei_central,loam,aggressive,0.9,10.11514175333241,4.458736227201478,410.8359653498695,4.358092711638738,5.757049041693672,365.8359653498695,44.99999999999999
henan_north,loam,conservative,0.1,14.599055750577383,3.197028634978129,224.16666666666663,3.3925718633619923,11.206483887215391,45.0,179.16666666666666
henan_north,loam,conservative,0.2,15.150147672049888,3.265660439433801,265.0,3.958653876096639,11.19149379595325,90.0,175.0
henan_north,loam,conservative,0.3,15.482649150624718,3.325271794836283,276.6666666666667,4.29407980863366,11.188569341991055,135.0,141.66666666666666
henan_north,loam,conservative,0.4,15.802805000707458,3.2912028768091703,311.6666666666667,4.590992097699105,11.211812903008356,170.0,141.66666666666666
henan_north,loam,conservative,0.5,16.393324213597968,2.6865114131805696,337.5,5.218579475607066,11.1747447379909,200.0,137.5
henan_north,loam,conservative,0.6,16.59988193429136,1.970122758930377,344.1666666666667,5.780655725050356,10.819226209241004,230.0,114.16666666666669
henan_north,loam,conservative,0.7,15.734796477027963,3.743849277133634,344.1666666666667,6.131908284815559,9.602888192212406,253.33333333333331,90.83333333333331
henan_north,loam,conservative,0.8,15.820971144454802,3.490125299220496,344.1666666666667,6.4321644785287,9.388806665926102,275.8333333333333,68.33333333333333
henan_north,loam,conservative,0.9,14.89641803381638,4.868720955743157,331.6666666666667,6.687893698860207,8.208524334956175,293.3333333333333,38.33333333333333
henan_north,loam,moderate,0.1,14.800671221652228,3.111398514538461,273.5174689453334,3.403313056554706,11.397358165097524,45.0,228.51746894533335
henan_north,loam,moderate,0.2,15.315981338362173,3.175633207932011,313.27104906951,3.922166392840616,11.393814945521555,90.0,223.27104906951
henan_north,loam,moderate,0.3,15.632414735180376,3.223192008428565,347.17887998906616,4.245156126816121,11.387258608364256,135.0,212.17887998906613
henan_north,loam,moderate,0.4,15.953625257446406,3.176507664559061,380.5710122909468,4.571924793608323,11.38170046383808,180.0,200.57101229094675
henan_north,loam,moderate,0.5,16.383113617739394,2.608858615566143,404.07718756149455,5.212799826901831,11.170313790837564,216.66666666666663,187.41052089482787
henan_north,loam,moderate,0.6,16.295243889301798,2.4546619251155954,400.8333333333333,5.782413888046002,10.512830001255798,246.66666666666663,154.16666666666666
henan_north,loam,moderate,0.7,15.497522830278092,3.361955111757504,393.3333333333333,6.114114400756438,9.383408429521657,276.6666666666667,116.66666666666669
henan_north,loam,moderate,0.8,15.56393477533093,3.717998285450504,383.4,6.398674284134962,9.165260491195973,304.2333333333333,79.16666666666666
henan_north,loam,moderate,0.9,14.45327151797636,4.652106313707652,368.4,6.677035278007916,7.776236239968444,326.7333333333333,41.66666666666666
henan_north,loam,aggressive,0.1,14.76537825622451,3.025094133593861,353.8581032521275,3.3224056633498456,11.442972592874666,45.0,308.8581032521275
henan_north,loam,aggressive,0.2,15.34367606966559,3.120628489060745,388.3515353614028,3.902629067149871,11.441047002515717,90.0,298.3515353614028
henan_north,loam,aggressive,0.3,15.70836783575092,3.1590898465503665,412.1050100118962,4.264974644215137,11.443393191535783,135.0,277.10501001189635
henan_north,loam,aggressive,0.4,16.164577168411757,2.83410567771267,423.5290857363252,4.818279986574523,11.346297181837237,180.0,243.52908573632524
henan_north,loam,aggressive,0.5,16.1531475767884,2.670599865724681,434.7016275974318,5.169731269764691,10.983416307023708,225.0,209.70162759743187
henan_north,loam,aggressive,0.6,15.79869273238256,2.921454212093619,438.8682942640985,5.706498419271955,10.092194313110609,266.6666666666667,172.20162759743187
henan_north,loam,aggressive,0.7,15.491217497332768,3.3695375242120478,433.83429426409856,6.06319656815712,9.428020929175648,299.1326666666667,134.7016275974319
henan_north,loam,aggressive,0.8,15.19004831401162,3.5440220225365677,419.1326666666666,6.339608665770644,8.850439648240974,329.1326666666667,89.99999999999999
henan_north,loam,aggressive,0.9,13.963381521525587,4.522744267269504,404.1326666666666,6.623081036497315,7.34030048502827,359.13266666666664,44.99999999999999
shaanxi_guanzhong,loam,conservative,0.1,15.79936672364621,0.4472540180026412,114.16666666666669,4.778701864880886,11.020664858765327,26.666666666666668,87.5
shaanxi_guanzhong,loam,conservative,0.2,15.81603318294489,0.4625048587509348,134.16666666666666,4.79603929258512,11.019993890359771,46.66666666666666,87.5
shaanxi_guanzhong,loam,conservative,0.3,15.8157338185432,0.4622094501763181,137.5,4.79603929258512,11.019694525958082,50.0,87.5
shaanxi_guanzhong,loam,conservative,0.4,15.8157338185432,0.4622094501763181,137.5,4.79603929258512,11.019694525958082,50.0,87.5
shaanxi_guanzhong,loam,conservative,0.5,15.8157338185432,0.4622094501763181,137.5,4.79603929258512,11.019694525958082,50.0,87.5
shaanxi_guanzhong,loam,conservative,0.6,15.8157338185432,0.4622094501763181,134.16666666666666,4.79603929258512,11.019694525958082,50.0,84.16666666666667
shaanxi_guanzhong,loam,conservative,0.7,15.76097068512864,0.4619463430423117,120.0,4.79603929258512,10.96493139254352,50.0,70.00000000000001
shaanxi_guanzhong,loam,conservative,0.8,15.287036835351843,0.9607655147231268,99.16666666666669,4.79603929258512,10.490997542766722,50.0,49.16666666666666
shaanxi_guanzhong,loam,conservative,0.9,14.330477594048274,2.249427015747053,76.66666666666667,4.79603929258512,9.534438301463153,50.0,26.66666666666666
shaanxi_guanzhong,loam,moderate,0.1,16.0195660032301,0.4127534978772683,152.35901183117815,4.777155534466348,11.242410468763753,38.333333333333336,114.0256784978448
shaanxi_guanzhong,loam,moderate,0.2,16.037958464625834,0.4224225143488699,171.71868192759766,4.795537507366714,11.242420957259124,65.83333333333333,105.8853485942643
shaanxi_guanzhong,loam,moderate,0.3,16.037854679316023,0.4220650474326151,192.5503485942643,4.795537507366714,11.24231717194931,86.66666666666667,105.88368192759764
shaanxi_guanzhong,loam,moderate,0.4,16.037756391288017,0.4219652280477367,197.5553485942643,4.795537507366714,11.242218883921304,91.66666666666669,105.88868192759764
shaanxi_guanzhong,loam,moderate,0.5,16.031065814781794,0.4178569358898663,194.3857944794842,4.795537507366714,11.235528307415075,91.66666666666669,102.71912781281756
shaanxi_guanzhong,loam,moderate,0.6,16.01110610787751,0.4092713940394945,179.3857944794842,4.795537507366714,11.215568600510792,91.66666666666669,87.71912781281755
shaanxi_guanzhong,loam,moderate,0.7,15.719422285486472,0.6663803298830951,164.38579447948422,4.795537507366714,10.923884778119756,91.66666666666669,72.71912781281755
shaanxi_guanzhong,loam,moderate,0.8,15.243137930281884,1.2660345404860427,149.38579447948422,4.795537507366714,10.44760042291517,91.66666666666669,57.71912781281754
shaanxi_guanzhong,loam,moderate,0.9,14.487301799451714,2.3750784270590617,128.74596114615088,4.795537507366714,9.691764292085,91.66666666666669,37.07929447948421
shaanxi_guanzhong,loam,aggressive,0.1,16.075639285500184,0.4287041282433615,257.5069111398308,4.766255669978933,11.309383615521254,45.0,212.50691113983075
shaanxi_guanzhong,loam,aggressive,0.2,16.104702700599848,0.4361961277466892,275.0348315096568,4.795273773834409,11.309428926765436,89.41283333333332,185.62199817632344
shaanxi_guanzhong,loam,aggressive,0.3,16.106155098533417,0.437787876169295,290.93765427333005,4.795273773834409,11.310881324699006,119.41283333333332,171.52482093999672
shaanxi_guanzhong,loam,aggressive,0.4,16.10590430369954,0.4375656927234262,305.09098760666336,4.795273773834409,11.310630529865133,141.0795,164.01148760666337
shaanxi_guanzhong,loam,aggressive,0.5,16.05513722126859,0.4127524629706751,299.2901337970739,4.795273773834409,11.259863447434183,149.60916666666665,149.68096713040725
shaanxi_guanzhong,loam,aggressive,0.6,15.828421456649815,0.6774146042369085,284.2901337970739,4.795273773834409,11.033147682815406,149.60916666666665,134.68096713040725
shaanxi_guanzhong,loam,aggressive,0.7,15.568530150072062,0.9678769615575896,265.3631337970739,4.795273773834409,10.773256376237653,149.60916666666665,115.75396713040725
shaanxi_guanzhong,loam,aggressive,0.8,15.12688720457292,1.5003338714766292,237.0131153301176,4.795273773834409,10.331613430738512,149.60916666666665,87.40394866345095
shaanxi_guanzhong,loam,aggressive,0.9,14.421757181704,2.484785717491438,194.60916666666665,4.795273773834409,9.626483407869593,149.60916666666665,44.99999999999999
