site_id,year,wheat_harvest,maize_harvest,margin_days,maize_yield,maize_irr
hebei_central,1982,1982-05-29,1982-09-28,7,10.958002695195548,292.5391590361323
hebei_central,1983,1983-05-30,1983-09-28,7,11.045638719849318,360.4769731322739
hebei_central,1984,1984-06-06,1984-09-28,7,11.033328804284318,337.18758966872144
hebei_central,1985,1985-06-05,1985-09-28,7,10.784600291854776,245.35144751187028
hebei_central,1986,1986-06-06,1986-09-28,7,11.085278810623738,345.89306563636535
hebei_central,1987,1987-06-06,1987-09-28,7,11.105803976203365,362.35708800504614
hebei_central,1988,1988-06-06,1988-09-28,7,11.118038445287377,270.5161747202678
hebei_central,1989,1989-05-24,1989-09-28,7,11.060598131272691,337.6134066877196
hebei_central,1990,1990-06-03,1990-09-28,7,11.12527428201816,273.3997813842812
hebei_central,1991,1991-06-04,1991-09-28,7,11.155050957837622,363.051570320747
hebei_central,1992,1992-06-01,1992-09-28,7,11.161179859328845,411.1936805967061
hebei_central,1993,1993-06-03,1993-09-28,7,11.175542199760537,359.5773053610662
hebei_central,1994,1994-05-31,1994-09-28,7,11.184470798720163,317.2890916843957
hebei_central,1995,1995-05-28,1995-09-28,7,10.966594797666014,267.25906426413945
hebei_central,1996,1996-05-31,1996-09-28,7,11.119985571884545,248.55531655356202
hebei_central,1997,1997-05-29,1997-09-28,7,10.977358730112888,507.22118287126517
hebei_central,1998,1998-05-25,1998-09-28,7,11.292984907721914,419.3783582959356
hebei_central,1999,1999-05-18,1999-09-28,7,11.208742451314897,393.40592461160793
hebei_central,2000,2000-05-24,2000-09-28,7,11.230114003698949,332.9523421511418
hebei_central,2001,2001-06-01,2001-09-28,7,11.278421382061538,363.0605398329792
hebei_central,2002,2002-05-19,2002-09-28,7,11.211324019836068,306.89123592152714
hebei_central,2003,2003-06-06,2003-09-28,7,11.307323825250691,334.3109018879939
hebei_central,2004,2004-05-25,2004-09-28,7,11.294457892015394,284.1857594275844
hebei_central,2005,2005-05-31,2005-09-28,7,11.349343419917279,417.99326961512503
hebei_central,2006,2006-05-21,2006-09-28,7,11.297234428573184,350.74207732533836
hebei_central,2007,2007-05-20,2007-09-28,7,11.390732289007826,392.86787690257887
hebei_central,2008,2008-05-27,2008-09-28,7,11.332889942397282,301.94733433367327
hebei_central,2009,2009-05-20,2009-09-28,7,11.244676423813466,378.09315785411053
hebei_central,2010,2010-06-08,2010-09-28,7,11.276332211261627,362.3545460397883
hebei_central,2011,2011-05-30,2011-09-28,7,11.014218743551101,347.76872210940996
