SMT1,SMT2,SMT3,SMT4,MaxIrr,irrigation_mm,cost,water_loss_mm,yield_t_ha
88.55453766559708,89.81565420948448,36.427249568575895,63.32847218970821,34.83856506679711,278.1730492247052,370.1730492247052,165.01915468194363,14.747530167472913
5.856004617247139,11.140584713267014,23.231273919155942,40.12118168393208,14.124435105624032,2.8248870211248063,3.8248870211248063,88.16461813108134,14.346803369668999
38.36854402289279,7.008366483052129,13.26982857953255,37.61371908298656,13.950089774927854,0.0,0.0,88.47953880421906,14.273985437173044
34.82498614337319,8.377558149261603,13.79416897484977,24.82141244411131,12.645647852662538,0.0,0.0,88.47953880421906,14.273985437173044
99.36605898203317,87.86336432247145,30.873195628427254,48.63282573404595,6.386246561700485,265.32906462008094,481.32906462008094,139.93141014779002,14.744374591350573
90.10906656933577,89.64558186914303,36.302413002507016,32.34907520515596,22.047990780647925,278.1091165954638,375.10911659546383,162.3512498412312,14.747667601383046
81.15983642025438,49.344857515839486,27.80545209327894,62.62279243600811,12.512532398671684,116.57907214884214,163.57907214884213,99.05374928092508,14.688882957693647
37.061522838700654,4.541532901623847,36.494917622540264,23.189987846213846,11.484366948848642,22.968733897697284,32.96873389769728,89.57066887619884,14.452163309519033
86.26339044242941,51.695073203104236,36.11752836729094,40.32697721907573,21.183973669928537,155.75387251288146,211.7538725128815,110.84125516863165,14.722987045895247
82.2312850002745,10.099041955324598,27.27685541327943,30.181594777034316,14.919253352845843,102.52422558218703,139.52422558218703,94.42515369024366,14.622553448782856
90.10906656933577,86.84038048351451,32.04972212747285,34.96113454042059,21.939124427138665,266.2849683009466,358.2849683009466,155.47061449373052,14.747424954850374
72.43981759882598,11.140584713267014,30.871560566973926,40.12118168393208,14.124435105624032,53.557479359121714,72.5574793591217,91.15472006577315,14.529296713075151
85.98354176248651,6.319544624852462,36.02078792392576,23.189987846213846,21.847651852557988,139.08604281116556,189.08604281116556,101.97760600374633,14.719525136408574
99.70655634122762,82.29280249577015,35.6749104189196,82.38350413289609,7.023094621523341,250.773304126954,442.77330412695403,132.86936283639585,14.740430455967743
88.48162773961441,66.9260852192098,30.567626506375714,37.78983425216974,34.62180687137463,193.04705822850082,259.0470582285008,121.59991244391529,14.731090026357853
90.10906656933577,8.734608283042249,36.302413002507016,24.880250733253707,13.190839780619996,153.68658795831942,225.68658795831942,104.03196273588667,14.720679200571377
9.634593086251593,49.344857515839486,13.62282978780533,24.537439240970414,12.51065079313497,32.52769206215092,45.527692062150926,95.78100309340394,14.483796102141445
70.47871381086784,13.210344087482667,29.338241229889316,31.03110755548645,15.672861122631485,37.28217779621038,49.28217779621038,89.86370136745312,14.481795479230817
73.41870600394215,10.099041955324598,33.372307576782234,30.40366771385716,14.523477722537443,60.72311980113479,81.7231198011348,90.62484018812685,14.563849670685148
85.7434992852879,63.97306970604739,24.20175669947415,38.47838540124266,34.4387353602509,181.73081969189144,235.73081969189144,117.81547769037527,14.726387066254457
98.19217670816222,81.02569369812397,32.83210351917811,41.918977190434404,6.679812933166426,244.96759429417844,435.9675942941784,131.61061487558467,14.73724458721954
81.45396403037039,4.369442708716811,33.417214902603746,68.33215648095165,21.847651852557988,126.15466088086455,163.15466088086455,97.11918813043918,14.706748327107869
87.20557106930055,86.77284070255557,24.379620264284313,37.89795375791161,13.047013690525159,257.7538078721047,363.7538078721047,145.82342003018192,14.746997195115403
99.70655634122762,86.59733598773153,33.096415515271175,42.60074681614946,6.61173904577841,265.72041668952807,475.72041668952807,141.58531377769674,14.74463295321026
37.82213645265194,4.4045731774549495,32.83210351917811,39.908243474048334,11.103703686703861,17.765925898726177,25.765925898726174,88.76546240381,14.418765302238373
96.50415142951233,64.36785253291748,30.91915425495503,46.02818937767913,36.569041943060625,215.93225020763663,323.9322502076367,130.57602011632326,14.731275583362054
