SMT1,SMT2,SMT3,SMT4,MaxIrr,irrigation_mm,cost,water_loss_mm,yield_t_ha
94.76942404673397,18.24834252486073,35.34653234154066,38.41311376405052,5.117134175591825,103.50821680633051,205.50821680633052,90.51350378139696,14.715626560467593
17.5121856103082,22.932065660156418,13.47178782323288,18.24856823632788,17.175616309620725,0.0,0.0,69.79626274152079,14.470887521643743
26.90054396478098,23.60293357521721,27.185926436295574,38.040857177072645,18.2011277913076,7.2804511165230394,9.28045111652304,69.5237173823497,14.60621546003561
94.73153680069183,54.4943837663448,33.1175319344727,17.782352782247727,15.37673974830759,116.04703505297604,188.04703505297607,99.69260203673498,14.72140216292397
23.463829592725574,13.865139289492731,13.001692251386494,16.89460558719522,17.173837650789974,0.0,0.0,69.79626274152079,14.470887521643743
91.83419685086825,14.139340543247027,33.45086163076205,1.4629038921840731,18.714381443790167,112.47192323462568,169.47192323462565,99.70580664581927,14.71789832395495
94.77587847650535,54.4943837663448,33.11769805412802,17.782352782247727,15.37673974830759,116.04703505297604,188.04703505297607,99.69260203673498,14.72140216292397
89.45380168522317,13.61726224824827,33.02098895914995,9.7741262004925,23.459057538856232,102.93280089794143,146.93280089794143,95.82275222750351,14.715663738926779
85.15692609123913,23.18836905492956,33.05915340232386,15.27764577336232,23.27254374362699,86.2561974972991,114.2561974972991,87.10995162725723,14.715245046668116
74.95092805676335,11.677084046583861,31.7941419006471,20.80874135584203,7.004417581625917,33.6212043918044,57.621204391804405,72.47784379830304,14.66884433729588
89.2532154155337,23.014115886755057,32.70757271911514,1.7298656465537103,5.560266551694413,91.11691813744947,173.11691813744946,83.46785824216447,14.710793080299842
70.09942751787548,23.593800886871918,32.08621105300481,40.662691512273845,20.144862973599878,25.247090378879896,32.247090378879896,73.3584926287481,14.663511744124895
28.430210660629353,6.872323112663034,22.765127128592923,13.335464091123633,17.61494605880671,3.5229892117613417,4.522989211761342,69.63304941091049,14.551937424427644
16.200083752319774,25.28290374272801,28.27360362416415,15.066347282898231,22.972950336971532,9.189180134788613,11.189180134788613,69.74009441755615,14.628144405869108
82.22960984001762,14.680151104263864,39.52186280795539,45.59522425707158,6.1077104812417495,72.07098367865267,131.07098367865268,77.53539631475255,14.697095734057054
79.33914438946626,23.18836905492956,32.706506407559154,17.902937397566504,22.94864461881265,62.10437508995718,80.10437508995719,82.66167529122544,14.701973819154684
85.29261266646158,15.196503736721215,35.21720947362821,44.158216532360775,5.018043447471608,79.2850864700514,158.2850864700514,78.5456699314163,14.703766880849477
15.423191469356901,23.18836905492956,33.05915340232386,18.286769688667352,23.27254374362699,13.963526246176196,16.963526246176194,70.05773383947515,14.64782928120186
91.71491128192652,22.586492390766445,33.44950708296089,41.151906780062035,7.312702035475202,106.6784622326725,182.67846223267247,93.08530128795954,14.71612783795805
12.914482421613496,15.31981113168995,20.446191868260758,2.218160072080367,5.279061391031466,1.0558122782062933,2.055812278206293,69.66927556644843,14.488095577347831
84.99269055768443,23.550320670258742,33.28237427180392,18.07712501345458,18.20308324081091,83.70887074119932,112.7088707411993,88.28781938589498,14.709218546580484
70.09942751787548,22.91446182349898,32.08621105300481,40.662691512273845,20.144862973599878,25.247090378879896,32.247090378879896,73.3584926287481,14.663511744124895
77.69965020747759,5.8592851890014135,39.48951259988694,41.50040668440145,5.449343610656786,53.4035673844365,102.4035673844365,73.22059315870328,14.680695702089498
94.76942404673397,19.080151837851748,35.34653234154066,40.84752836511192,5.117134175591825,103.50821680633051,205.50821680633052,90.51350378139696,14.715626560467593
87.08944925078758,19.121299169186855,35.34653234154066,40.84752836511192,5.117134175591825,85.96785414994265,169.96785414994264,80.799216516668,14.707933609160808
76.2002375044588,22.586492390766445,32.57935259852594,40.0902698637749,7.7855514553756375,42.04197785902845,69.04197785902845,74.42227928446809,14.675660075199241
28.21674027604471,23.60293357521721,31.40945219370839,35.26634757098977,18.2011277913076,10.92067667478456,13.92067667478456,69.62029318090201,14.647558993896274
74.23343881644699,2.031223150828712,29.515747150780108,2.2585134270654166,19.024196499411776,37.36367509917649,48.36367509917649,76.8201227797056,14.664572139861088
28.430210660629353,6.415297872150854,22.765127128592923,4.4888529273027835,16.616162511730817,6.646465004692327,8.646465004692327,70.6764591719813,14.573274646377854
91.71491128192652,22.586492390766445,33.44950708296089,1.3706863428818803,7.125879079860424,105.97201017201238,182.9720101720124,92.54775469807825,14.716455733639705
18.776133924604757,6.415297872150854,22.765127128592923,7.273264996414557,16.616162511730817,6.646465004692327,8.646465004692327,70.6764591719813,14.573274646377854
80.09005191186297,24.638273824591195,34.11546007622865,43.448768501543206,5.769013013659593,59.99773534205976,111.99773534205977,75.52276332586084,14.694087917129082
15.750189042974625,12.566771104924655,25.36012145684205,18.24856823632788,16.727376780967766,6.690950712387107,8.690950712387107,69.56429247355607,14.59378401760365
