site_id,soil,year,weight_yield_proxy,weight_water,weight_cost,weight_risk,dry_yield_t_ha,irrigation_mm,n_decision_steps,action_modified_rate,scalar_return,condition,target_site,nearest_source_distance
beijing_plain,loam,2018,0.4,0.3,0.2,0.1,13.721110138954714,10.0,44,0.13636363636363635,17.58120753563053,zero_shot,beijing_plain,1.1680804126999176
beijing_plain,loam,2019,0.4,0.3,0.2,0.1,14.477756776893889,10.0,44,0.06818181818181818,17.824745031888476,zero_shot,beijing_plain,1.1680804126999176
beijing_plain,loam,2020,0.4,0.3,0.2,0.1,14.30424465315343,10.0,44,0.06818181818181818,17.7961669355479,zero_shot,beijing_plain,1.1680804126999176
beijing_plain,loam,2021,0.4,0.3,0.2,0.1,14.618957699038939,0.0,44,0.5,18.00376268716418,zero_shot,beijing_plain,1.1680804126999176
beijing_plain,loam,2022,0.4,0.3,0.2,0.1,14.563821891309512,10.0,44,0.5,17.86057321823308,zero_shot,beijing_plain,1.1680804126999176
beijing_plain,loam,2018,0.4,0.3,0.2,0.1,13.721110138954714,10.0,44,0.13636363636363635,17.58120753563053,finetuned,beijing_plain,1.1680804126999176
beijing_plain,loam,2019,0.4,0.3,0.2,0.1,14.477756776893889,10.0,44,0.06818181818181818,17.824745031888476,finetuned,beijing_plain,1.1680804126999176
beijing_plain,loam,2020,0.4,0.3,0.2,0.1,14.30424465315343,10.0,44,0.06818181818181818,17.7961669355479,finetuned,beijing_plain,1.1680804126999176
beijing_plain,loam,2021,0.4,0.3,0.2,0.1,14.618957699038939,0.0,44,0.5227272727272727,18.00376268716418,finetuned,beijing_plain,1.1680804126999176
beijing_plain,loam,2022,0.4,0.3,0.2,0.1,14.563821891309512,10.0,44,0.4318181818181818,17.86057321823308,finetuned,beijing_plain,1.1680804126999176
beijing_plain,loam,2018,0.4,0.3,0.2,0.1,14.523119767778272,120.0,44,0.0,16.434449061565516,threshold_rule,beijing_plain,1.1680804126999176
beijing_plain,loam,2019,0.4,0.3,0.2,0.1,14.537235527109779,80.0,44,0.022727272727272728,16.957061148580866,threshold_rule,beijing_plain,1.1680804126999176
beijing_plain,loam,2020,0.4,0.3,0.2,0.1,14.59975120419241,120.0,44,0.022727272727272728,16.43656555409014,threshold_rule,beijing_plain,1.1680804126999176
beijing_plain,loam,2021,0.4,0.3,0.2,0.1,14.664005508734885,60.0,44,0.0,17.22167353450831,threshold_rule,beijing_plain,1.1680804126999176
beijing_plain,loam,2022,0.4,0.3,0.2,0.1,14.563821891309512,0.0,44,0.022727272727272728,18.002239884899744,threshold_rule,beijing_plain,1.1680804126999176
hebei_central,loam,2018,0.4,0.3,0.2,0.1,14.493408694842259,0.0,44,0.06818181818181818,17.935754692616456,zero_shot,hebei_central,0.905555524686574
hebei_central,loam,2019,0.4,0.3,0.2,0.1,13.502625531097443,10.0,44,0.022727272727272728,17.48361783564419,zero_shot,hebei_central,0.905555524686574
