site_id,soil,year,weight_yield_proxy,weight_water,weight_cost,weight_risk,dry_yield_t_ha,irrigation_mm,n_decision_steps,action_modified_rate,scalar_return,run,timesteps
hebei_central,loam,2015,0.4,0.3,0.2,0.1,11.569865254446798,0.0,44,0.0,17.186104553335372,ppo_irrigation,350000
ningxia_irrigation,loam,2015,0.4,0.3,0.2,0.1,7.917657633408157,0.0,44,0.0,15.798152851179164,ppo_irrigation,350000
shaanxi_guanzhong,loam,2015,0.4,0.3,0.2,0.1,14.62971694126228,0.0,44,0.0,18.0059685625168,ppo_irrigation,350000
hebei_central,loam,2015,0.4,0.3,0.2,0.1,11.569865254446798,0.0,44,0.045454545454545456,17.186104553335372,ppo_irrigation_v2,350000
ningxia_irrigation,loam,2015,0.4,0.3,0.2,0.1,11.498049694933883,80.0,44,0.022727272727272728,15.530180909105104,ppo_irrigation_v2,350000
shaanxi_guanzhong,loam,2015,0.4,0.3,0.2,0.1,14.62971694126228,0.0,44,0.11363636363636363,18.0059685625168,ppo_irrigation_v2,350000
hebei_central,loam,2015,0.4,0.3,0.2,0.1,11.569865254446798,0.0,44,0.0,17.186104553335372,ppo_irrigation,400000
ningxia_irrigation,loam,2015,0.4,0.3,0.2,0.1,7.917657633408157,0.0,44,0.0,15.798152851179164,ppo_irrigation,400000
shaanxi_guanzhong,loam,2015,0.4,0.3,0.2,0.1,14.62971694126228,0.0,44,0.0,18.0059685625168,ppo_irrigation,400000
hebei_central,loam,2015,0.4,0.3,0.2,0.1,12.87971464764306,20.0,44,0.045454545454545456,17.1514247539331,ppo_irrigation_v2,400000
ningxia_irrigation,loam,2015,0.4,0.3,0.2,0.1,10.7778609723533,40.0,44,0.0,15.484578954604158,ppo_irrigation_v2,400000
shaanxi_guanzhong,loam,2015,0.4,0.3,0.2,0.1,14.62971694126228,0.0,44,0.11363636363636363,18.0059685625168,ppo_irrigation_v2,400000
hebei_central,loam,2015,0.4,0.3,0.2,0.1,11.569865254446798,0.0,44,0.0,17.186104553335372,ppo_irrigation,450000
ningxia_irrigation,loam,2015,0.4,0.3,0.2,0.1,7.917657633408157,0.0,44,0.0,15.798152851179164,ppo_irrigation,450000
shaanxi_guanzhong,loam,2015,0.4,0.3,0.2,0.1,14.62971694126228,0.0,44,0.0,18.0059685625168,ppo_irrigation,450000
hebei_central,loam,2015,0.4,0.3,0.2,0.1,12.87971464764306,20.0,44,0.0,17.1514247539331,ppo_irrigation_v2,450000
ningxia_irrigation,loam,2015,0.4,0.3,0.2,0.1,11.447817081453511,60.0,44,0.0,15.649670737728474,ppo_irrigation_v2,450000
shaanxi_guanzhong,loam,2015,0.4,0.3,0.2,0.1,14.62971694126228,0.0,44,0.11363636363636363,18.0059685625168,ppo_irrigation_v2,450000
hebei_central,loam,2015,0.4,0.3,0.2,0.1,11.569865254446798,0.0,44,0.0,17.186104553335372,ppo_irrigation,500000
ningxia_irrigation,loam,2015,0.4,0.3,0.2,0.1,7.917657633408157,0.0,44,0.0,15.798152851179164,ppo_irrigation,500000
shaanxi_guanzhong,loam,2015,0.4,0.3,0.2,0.1,14.62971694126228,0.0,44,0.0,18.0059685625168,ppo_irrigation,500000
hebei_central,loam,2015,0.4,0.3,0.2,0.1,12.87971464764306,20.0,44,0.022727272727272728,17.1514247539331,ppo_irrigation_v2,500000
ningxia_irrigation,loam,2015,0.4,0.3,0.2,0.1,11.812740968769504,80.0,44,0.022727272727272728,15.715268183562177,ppo_irrigation_v2,500000
shaanxi_guanzhong,loam,2015,0.4,0.3,0.2,0.1,14.62971694126228,0.0,44,0.09090909090909091,18.0059685625168,ppo_irrigation_v2,500000
hebei_central,loam,2015,0.4,0.3,0.2,0.1,11.569865254446798,0.0,44,0.0,17.186104553335372,ppo_irrigation,550000
ningxia_irrigation,loam,2015,0.4,0.3,0.2,0.1,7.917657633408157,0.0,44,0.0,15.798152851179164,ppo_irrigation,550000
shaanxi_guanzhong,loam,2015,0.4,0.3,0.2,0.1,14.62971694126228,0.0,44,0.0,18.0059685625168,ppo_irrigation,550000
hebei_central,loam,2015,0.4,0.3,0.2,0.1,12.87971464764306,20.0,44,0.06818181818181818,17.1514247539331,ppo_irrigation_v2,550000
ningxia_irrigation,loam,2015,0.4,0.3,0.2,0.1,11.999707498017695,100.0,44,0.022727272727272728,15.633870559868438,ppo_irrigation_v2,550000
shaanxi_guanzhong,loam,2015,0.4,0.3,0.2,0.1,14.62971694126228,0.0,44,0.09090909090909091,18.0059685625168,ppo_irrigation_v2,550000
hebei_central,loam,2015,0.4,0.3,0.2,0.1,11.569865254446798,0.0,44,0.0,17.186104553335372,ppo_irrigation,600000
ningxia_irrigation,loam,2015,0.4,0.3,0.2,0.1,7.917657633408157,0.0,44,0.0,15.798152851179164,ppo_irrigation,600000
